,,amount,amount,no_of_donors,no_of_donors
,,sum,mean,sum,mean
CUNDINAMARCA,PARATEBUENO (LA NAGUAYA),9000000.0,9000000.0,3,3.0
CUNDINAMARCA,PASCA,19000000.0,19000000.0,2,2.0
CUNDINAMARCA,PUERTO SALGAR,33600000.0,11200000.0,10,3.3333333333333335
CUNDINAMARCA,QUETAME,2500000.0,2500000.0,1,1.0
CUNDINAMARCA,RICAURTE,18000000.0,18000000.0,2,2.0
CUNDINAMARCA,SAN BERNARDO,46000000.0,46000000.0,16,16.0
CUNDINAMARCA,SAN FRANCISCO,9670000.0,4835000.0,4,2.0
CUNDINAMARCA,SASAIMA,11620000.0,11620000.0,3,3.0
CUNDINAMARCA,SIBATE,9000000.0,9000000.0,1,1.0
CUNDINAMARCA,SILVANIA,25000000.0,25000000.0,1,1.0
CUNDINAMARCA,SIMIJACA,14382524.0,7191262.0,7,3.5
CUNDINAMARCA,SOACHA,194470000.0,64823333.333333336,12,4.0
CUNDINAMARCA,SOPO,55300000.0,13825000.0,15,3.75
CUNDINAMARCA,SUBACHOQUE,10400000.0,10400000.0,2,2.0
CUNDINAMARCA,SUPATA,800000.0,800000.0,1,1.0
CUNDINAMARCA,TABIO,49828505.0,16609501.666666666,12,4.0
CUNDINAMARCA,TAUSA,12470968.0,6235484.0,5,2.5
CUNDINAMARCA,TENJO,91221670.0,22805417.5,17,4.25
CUNDINAMARCA,TIBACUY,4775000.0,1591666.6666666667,4,1.3333333333333333
CUNDINAMARCA,TOCANCIPA,55700000.0,27850000.0,8,4.0
CUNDINAMARCA,UBALA,9000000.0,9000000.0,1,1.0
CUNDINAMARCA,UBAQUE,24900000.0,12450000.0,11,5.5
CUNDINAMARCA,UBATE,4000000.0,4000000.0,1,1.0
CUNDINAMARCA,UNE,5020000.0,5020000.0,2,2.0
CUNDINAMARCA,UTICA,69450000.0,69450000.0,11,11.0
CUNDINAMARCA,VENECIA,100000.0,100000.0,1,1.0
CUNDINAMARCA,VERGARA,43483000.0,21741500.0,8,4.0
CUNDINAMARCA,VILLAGOMEZ,4800000.0,4800000.0,2,2.0
CUNDINAMARCA,VILLAPINZON,12000000.0,12000000.0,3,3.0
CUNDINAMARCA,VILLETA,67687132.0,33843566.0,9,4.5
CUNDINAMARCA,VIOTA,12000000.0,4000000.0,3,1.0
CUNDINAMARCA,YACOPI,19916100.0,6638700.0,4,1.3333333333333333
CUNDINAMARCA,ZIPAQUIRA,529284000.0,176428000.0,85,28.333333333333332
GUAVIARE,EL RETORNO,27000000.0,27000000.0,3,3.0
GUAVIARE,MIRAFLORES,25200000.0,12600000.0,4,2.0
HUILA,ACEVEDO,9000000.0,4500000.0,2,1.0
HUILA,CAMPOALEGRE,4000000.0,4000000.0,1,1.0
HUILA,COLOMBIA,5100000.0,2550000.0,2,1.0
HUILA,GIGANTE,78300000.0,39150000.0,4,2.0
HUILA,ISNOS,16100000.0,8050000.0,6,3.0
HUILA,LA PLATA,19560000.0,6520000.0,3,1.0
HUILA,NATAGA,1400000.0,1400000.0,3,3.0
HUILA,NEIVA,851823093.0,283941031.0,104,34.666666666666664
HUILA,PITAL,58500000.0,19500000.0,9,3.0
HUILA,RIVERA,78094395.0,78094395.0,2,2.0
HUILA,SANTA MARIA,2000000.0,2000000.0,1,1.0
HUILA,TELLO,4442804.0,4442804.0,1,1.0
LA GUAJIRA,ALBANIA,42000000.0,42000000.0,7,7.0
LA GUAJIRA,BARRANCAS,16000000.0,16000000.0,3,3.0
LA GUAJIRA,DIBULLA,9938072.0,9938072.0,1,1.0
LA GUAJIRA,DISTRACCION,9000000.0,9000000.0,1,1.0
LA GUAJIRA,EL MOLINO,52000000.0,52000000.0,13,13.0
LA GUAJIRA,FONSECA,38800000.0,9700000.0,7,1.75
LA GUAJIRA,MAICAO,411432590.0,102858147.5,49,12.25
LA GUAJIRA,MANAURE,150120000.0,75060000.0,12,6.0
LA GUAJIRA,RIOHACHA,917443230.0,229360807.5,25,6.25
LA GUAJIRA,SAN JUAN DEL CESAR,145000000.0,72500000.0,7,3.5
LA GUAJIRA,URIBIA,3000000.0,3000000.0,1,1.0
LA GUAJIRA,VILLANUEVA,67000000.0,33500000.0,7,3.5
MAGDALENA,ARACATACA,14320000.0,14320000.0,4,4.0
MAGDALENA,CERRO DE SAN ANTONIO,17000000.0,17000000.0,3,3.0
MAGDALENA,CHIVOLO,41250000.0,20625000.0,8,4.0
MAGDALENA,CIENAGA,363940000.0,121313333.33333333,21,7.0
MAGDALENA,CONCORDIA,9100000.0,4550000.0,3,1.5
MAGDALENA,EL BANCO,43058000.0,43058000.0,6,6.0
MAGDALENA,EL PIÑON,16000000.0,16000000.0,2,2.0
MAGDALENA,FUNDACION,70810000.0,35405000.0,10,5.0
MAGDALENA,GUAMAL,16200000.0,16200000.0,3,3.0
MAGDALENA,PLATO,49000000.0,49000000.0,5,5.0
MAGDALENA,REMOLINO,8000000.0,4000000.0,2,1.0
MAGDALENA,SALAMINA,200000.0,200000.0,1,1.0
MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,9000000.0,9000000.0,1,1.0
MAGDALENA,SAN ZENON,50484000.0,25242000.0,6,3.0
MAGDALENA,SANTA MARTA,7853713205.0,1963428301.25,71,17.75
META,ACACIAS,133650000.0,33412500.0,34,8.5
META,CABUYARO,3206200.0,3206200.0,1,1.0
META,CASTILLA LA NUEVA,49000000.0,24500000.0,24,12.0
META,CUBARRAL,12950000.0,6475000.0,5,2.5
META,CUMARAL,165502200.0,55167400.0,8,2.6666666666666665
META,EL DORADO,9790000.0,4895000.0,17,8.5
META,FUENTE DE ORO,5000000.0,5000000.0,1,1.0
META,GRANADA,87347496.0,29115832.0,30,10.0
META,GUAMAL,26500000.0,26500000.0,4,4.0
META,LEJANIAS,60350000.0,30175000.0,13,6.5
META,MESETAS,30900000.0,15450000.0,5,2.5
META,PUERTO CONCORDIA,31700000.0,10566666.666666666,3,1.0
META,PUERTO GAITAN,83144336.0,41572168.0,15,7.5
META,PUERTO LLERAS,12000000.0,12000000.0,2,2.0
META,PUERTO RICO,130000000.0,65000000.0,47,23.5
META,SAN JUAN DE ARAMA,10000000.0,10000000.0,1,1.0
META,URIBE,24827960.0,24827960.0,12,12.0
META,VILLAVICENCIO,1592759466.0,318551893.2,91,18.2
META,VISTA HERMOSA,6650000.0,6650000.0,4,4.0
NARIÑO,BARBACOAS,60000000.0,30000000.0,5,2.5
NARIÑO,BELEN,6000000.0,3000000.0,6,3.0
NARIÑO,CHACHAGUI,2000000.0,2000000.0,1,1.0
NARIÑO,COLON (GENOVA),4270000.0,4270000.0,2,2.0
NARIÑO,CORDOBA,15350000.0,7675000.0,7,3.5
NARIÑO,CUMBAL,15000000.0,15000000.0,2,2.0
NARIÑO,CUMBITARA,30128000.0,30128000.0,8,8.0
NARIÑO,EL CHARCO,24000000.0,8000000.0,4,1.3333333333333333
NARIÑO,EL PEÑOL,32000000.0,32000000.0,1,1.0
NARIÑO,GUACHUCAL,11600000.0,11600000.0,3,3.0
NARIÑO,ILES,169600.0,169600.0,1,1.0
NARIÑO,IMUES,40000000.0,40000000.0,6,6.0
NARIÑO,IPIALES,196377360.0,98188680.0,14,7.0
NARIÑO,LA CRUZ,9000000.0,9000000.0,1,1.0
NARIÑO,LA TOLA,100000.0,100000.0,1,1.0
NARIÑO,LEIVA,6000000.0,6000000.0,1,1.0
NARIÑO,LOS ANDES (SOTOMAYOR),3000000.0,3000000.0,1,1.0
NARIÑO,MAGUI (PAYAN),109691500.0,27422875.0,20,5.0
NARIÑO,MALLAMA (PIEDRANCHA),12000000.0,12000000.0,1,1.0
NARIÑO,MOSQUERA,122100000.0,61050000.0,14,7.0
NARIÑO,OLAYA HERRERA,58738000.0,19579333.333333332,13,4.333333333333333
NARIÑO,PASTO,239029925.0,59757481.25,17,4.25
NARIÑO,POLICARPA,23000000.0,23000000.0,4,4.0
NARIÑO,POTOSI,3260000.0,1630000.0,3,1.5
NARIÑO,RICAURTE,84411700.0,28137233.333333332,28,9.333333333333334
NARIÑO,ROBERTO PAYAN (SAN JOSE),103641000.0,51820500.0,9,4.5
NARIÑO,SAMANIEGO,1280000.0,1280000.0,1,1.0
NARIÑO,SAN LORENZO,27400000.0,13700000.0,6,3.0
NARIÑO,SAN PABLO,18100000.0,18100000.0,6,6.0
NARIÑO,SAN PEDRO DE CARTAGO,500000.0,500000.0,1,1.0
NARIÑO,SANTA BARBARA (ISCUANDE),100000.0,100000.0,1,1.0
NARIÑO,SAPUYES,33000000.0,16500000.0,6,3.0
NARIÑO,TAMINANGO,8000000.0,8000000.0,3,3.0
NARIÑO,TANGUA,4900000.0,2450000.0,2,1.0
NARIÑO,TUMACO,284000000.0,71000000.0,18,4.5
NARIÑO,TUQUERRES,70680000.0,23560000.0,22,7.333333333333333
NARIÑO,YACUANQUER,6000000.0,6000000.0,1,1.0
NORTE DE SANTANDER,ABREGO,16000000.0,16000000.0,3,3.0
NORTE DE SANTANDER,CACHIRA,100000.0,100000.0,1,1.0
NORTE DE SANTANDER,CACOTA,1770000.0,1770000.0,1,1.0
NORTE DE SANTANDER,CHINACOTA,30934300.0,10311433.333333334,9,3.0
NORTE DE SANTANDER,CHITAGA,6000000.0,6000000.0,1,1.0
NORTE DE SANTANDER,CONVENCION,19100000.0,19100000.0,3,3.0
NORTE DE SANTANDER,CUCUTA,1669687544.0,333937508.8,97,19.4
NORTE DE SANTANDER,CUCUTILLA,20000000.0,20000000.0,2,2.0
NORTE DE SANTANDER,DURANIA,5000000.0,5000000.0,1,1.0
NORTE DE SANTANDER,EL CARMEN,40000000.0,40000000.0,8,8.0
NORTE DE SANTANDER,EL ZULIA,23410000.0,11705000.0,6,3.0
NORTE DE SANTANDER,HACARI,42000000.0,42000000.0,3,3.0
NORTE DE SANTANDER,LA ESPERANZA,18200000.0,9100000.0,4,2.0
NORTE DE SANTANDER,LA PLAYA,50000.0,50000.0,1,1.0
NORTE DE SANTANDER,LABATECA,46233500.0,23116750.0,7,3.5
NORTE DE SANTANDER,LOS PATIOS,151726500.0,50575500.0,9,3.0
NORTE DE SANTANDER,OCAÑA,103695000.0,25923750.0,9,2.25
NORTE DE SANTANDER,PAMPLONA,50400000.0,25200000.0,7,3.5
NORTE DE SANTANDER,PUERTO SANTANDER,27050000.0,27050000.0,4,4.0
NORTE DE SANTANDER,RAGONVALIA,2428000.0,2428000.0,1,1.0
NORTE DE SANTANDER,SAN CALIXTO,10600000.0,5300000.0,4,2.0
NORTE DE SANTANDER,SARDINATA,3000000.0,3000000.0,1,1.0
NORTE DE SANTANDER,TEORAMA,44000000.0,44000000.0,3,3.0
NORTE DE SANTANDER,TIBU,25600000.0,8533333.333333334,9,3.0
NORTE DE SANTANDER,TOLEDO,4000000.0,4000000.0,1,1.0
NORTE DE SANTANDER,VILLA CARO,1500000.0,1500000.0,2,2.0
NORTE DE SANTANDER,VILLA DEL ROSARIO,176848750.0,88424375.0,4,2.0
PUTUMAYO,MOCOA,72130000.0,36065000.0,7,3.5
PUTUMAYO,ORITO,38500000.0,12833333.333333334,6,2.0
PUTUMAYO,PUERTO ASIS,98150000.0,32716666.666666668,11,3.6666666666666665
PUTUMAYO,PUERTO CAICEDO,36800000.0,18400000.0,5,2.5
PUTUMAYO,PUERTO GUZMAN,29750900.0,14875450.0,6,3.0
PUTUMAYO,PUERTO LEGUIZAMO,49100000.0,12275000.0,11,2.75
PUTUMAYO,SIBUNDOY,30000000.0,30000000.0,4,4.0
PUTUMAYO,VILLAGARZON,59900000.0,19966666.666666668,7,2.3333333333333335
QUINDIO,CALARCA,45922598.0,15307532.666666666,17,5.666666666666667
QUINDIO,CIRCASIA,5000000.0,5000000.0,1,1.0
QUINDIO,CORDOBA,8000000.0,8000000.0,1,1.0
QUINDIO,FILANDIA,10000000.0,10000000.0,6,6.0
QUINDIO,LA TEBAIDA,19000000.0,9500000.0,3,1.5
QUINDIO,MONTENEGRO,5000000.0,5000000.0,1,1.0
QUINDIO,PIJAO,200000.0,200000.0,1,1.0
QUINDIO,QUIMBAYA,47000000.0,23500000.0,7,3.5
RISARALDA,APIA,11000000.0,5500000.0,2,1.0
RISARALDA,BALBOA,30000000.0,30000000.0,5,5.0
RISARALDA,DOSQUEBRADAS,327745000.0,109248333.33333333,49,16.333333333333332
RISARALDA,GUATICA,4000000.0,2000000.0,2,1.0
RISARALDA,LA CELIA,2000000.0,2000000.0,1,1.0
RISARALDA,LA VIRGINIA,40000000.0,13333333.333333334,5,1.6666666666666667
RISARALDA,MARSELLA,15606100.0,5202033.333333333,5,1.6666666666666667
RISARALDA,MISTRATO,14290400.0,14290400.0,2,2.0
RISARALDA,PEREIRA,216879178.0,72293059.33333333,33,11.0
RISARALDA,QUINCHIA,7000000.0,7000000.0,1,1.0
RISARALDA,SANTA ROSA DE CABAL,40000000.0,20000000.0,6,3.0
RISARALDA,SANTUARIO,18600000.0,18600000.0,6,6.0
SAN ANDRES,PROVIDENCIA,111400000.0,55700000.0,11,5.5
SANTANDER,BARBOSA,10000000.0,10000000.0,1,1.0
SANTANDER,BARICHARA,6900000.0,6900000.0,6,6.0
SANTANDER,BARRANCABERMEJA,508192338.0,101638467.6,41,8.2
SANTANDER,BOLIVAR,5000000.0,5000000.0,1,1.0
SANTANDER,BUCARAMANGA,1299608269.0,324902067.25,50,12.5
SANTANDER,CABRERA,33000000.0,33000000.0,5,5.0
SANTANDER,CAPITANEJO,8000000.0,8000000.0,1,1.0
SANTANDER,CARCASI,300000.0,150000.0,2,1.0
SANTANDER,CHARTA,4335000.0,4335000.0,2,2.0
SANTANDER,CHIMA,10000000.0,10000000.0,1,1.0
SANTANDER,CIMITARRA,55000000.0,55000000.0,9,9.0
SANTANDER,CONCEPCION,82200000.0,82200000.0,9,9.0
SANTANDER,EL CARMEN,18000000.0,18000000.0,2,2.0
SANTANDER,EL GUACAMAYO,19000000.0,19000000.0,3,3.0
SANTANDER,EL PEÑON,200000.0,200000.0,1,1.0
SANTANDER,EL PLAYON,51500000.0,25750000.0,9,4.5
SANTANDER,FLORIAN,29500000.0,14750000.0,7,3.5
SANTANDER,FLORIDABLANCA,477880000.0,159293333.33333334,15,5.0
SANTANDER,GALAN,5000000.0,5000000.0,1,1.0
SANTANDER,GAMBITA,4000000.0,4000000.0,1,1.0
SANTANDER,GIRON,1100000.0,1100000.0,2,2.0
SANTANDER,GUACA,100000.0,100000.0,1,1.0
SANTANDER,LA PAZ,2000000.0,2000000.0,1,1.0
SANTANDER,LANDAZURI,32000000.0,16000000.0,5,2.5
SANTANDER,LEBRIJA,20930000.0,20930000.0,3,3.0
SANTANDER,MOLAGAVITA,15000000.0,15000000.0,3,3.0
SANTANDER,OIBA,19040000.0,9520000.0,14,7.0
SANTANDER,PALMAR,2000000.0,2000000.0,1,1.0
SANTANDER,PUENTE NACIONAL,3500000.0,3500000.0,2,2.0
SANTANDER,PUERTO PARRA,9000000.0,9000000.0,1,1.0
SANTANDER,RIONEGRO,2250000.0,2250000.0,1,1.0
SANTANDER,SABANA DE TORRES,20000000.0,10000000.0,3,1.5
SANTANDER,SAN ANDRES,100000.0,100000.0,1,1.0
SANTANDER,SAN GIL,47538650.0,9507730.0,15,3.0
SANTANDER,SAN JOAQUIN,100000.0,100000.0,1,1.0
SANTANDER,SAN JOSE DE MIRANDA,100000.0,100000.0,1,1.0
SANTANDER,SAN VICENTE DE CHUCURI,22000000.0,22000000.0,3,3.0
SANTANDER,SANTA BARBARA,17100000.0,8550000.0,5,2.5
SANTANDER,SANTA HELENA DEL OPON,28200000.0,28200000.0,5,5.0
SANTANDER,SIMACOTA,20000000.0,20000000.0,4,4.0
SANTANDER,VALLE DE SAN JOSE,60000000.0,60000000.0,3,3.0
SANTANDER,ZAPATOCA,200000.0,200000.0,1,1.0
SUCRE,CAIMITO,600000.0,600000.0,1,1.0
SUCRE,CHALAN,8800000.0,8800000.0,4,4.0
SUCRE,COROZAL,14190000.0,7095000.0,2,1.0
SUCRE,COVEÑAS,52700000.0,17566666.666666668,11,3.6666666666666665
SUCRE,EL ROBLE,24467519.0,24467519.0,2,2.0
SUCRE,GALERAS (NUEVA GRANADA),380000.0,380000.0,1,1.0
SUCRE,GUARANDA,12550000.0,12550000.0,4,4.0
SUCRE,MAJAGUAL,16200000.0,8100000.0,5,2.5
SUCRE,MORROA,7000000.0,7000000.0,2,2.0
SUCRE,PALMITO,100000.0,100000.0,1,1.0
SUCRE,SAN MARCOS,39700000.0,9925000.0,7,1.75
SUCRE,SAN ONOFRE,100000.0,100000.0,1,1.0
SUCRE,SAN PEDRO,1100000.0,550000.0,2,1.0
SUCRE,SINCE,7861973.0,3930986.5,2,1.0
SUCRE,SINCELEJO,450443100.0,112610775.0,24,6.0
SUCRE,TOLUVIEJO,22500000.0,22500000.0,3,3.0
TOLIMA,AMBALEMA,100000.0,100000.0,1,1.0
TOLIMA,ANZOATEGUI,8000000.0,8000000.0,1,1.0
TOLIMA,ARMERO (GUAYABAL),3000000.0,3000000.0,1,1.0
TOLIMA,ATACO,200000.0,200000.0,1,1.0
TOLIMA,CAJAMARCA,9000000.0,9000000.0,1,1.0
TOLIMA,CARMEN DE APICALA,3000000.0,3000000.0,2,2.0
TOLIMA,CASABIANCA,32150000.0,32150000.0,9,9.0
TOLIMA,CHAPARRAL,102000000.0,51000000.0,7,3.5
TOLIMA,COYAIMA,18800000.0,18800000.0,2,2.0
TOLIMA,CUNDAY,300000.0,300000.0,1,1.0
TOLIMA,ESPINAL,35099700.0,17549850.0,4,2.0
TOLIMA,FALAN,4000000.0,4000000.0,2,2.0
TOLIMA,FLANDES,38500000.0,38500000.0,5,5.0
TOLIMA,FRESNO,48500000.0,24250000.0,7,3.5
TOLIMA,GUAMO,10000000.0,10000000.0,1,1.0
TOLIMA,HERVEO,10800000.0,5400000.0,2,1.0
TOLIMA,IBAGUE,657142222.0,131428444.4,29,5.8
TOLIMA,ICONONZO,25083500.0,6270875.0,11,2.75
TOLIMA,LIBANO,36000000.0,12000000.0,8,2.6666666666666665
TOLIMA,MARIQUITA,29073000.0,14536500.0,5,2.5
TOLIMA,MELGAR,74500000.0,24833333.333333332,10,3.3333333333333335
TOLIMA,MURILLO,5000000.0,2500000.0,2,1.0
TOLIMA,ORTEGA,10000000.0,10000000.0,1,1.0
TOLIMA,PALOCABILDO,5000000.0,5000000.0,1,1.0
TOLIMA,PIEDRAS,9600000.0,4800000.0,3,1.5
TOLIMA,PRADO,9400000.0,9400000.0,1,1.0
TOLIMA,PURIFICACION,1260000.0,1260000.0,1,1.0
TOLIMA,RONCESVALLES,5400000.0,2700000.0,5,2.5
TOLIMA,ROVIRA,5200000.0,5200000.0,1,1.0
TOLIMA,SALDAÑA,53895600.0,13473900.0,9,2.25
TOLIMA,SAN ANTONIO,23000000.0,23000000.0,5,5.0
TOLIMA,SAN LUIS,157200.0,78600.0,2,1.0
TOLIMA,SANTA ISABEL,17450000.0,8725000.0,7,3.5
TOLIMA,SUAREZ,13500000.0,6750000.0,3,1.5
TOLIMA,VALLE DE SAN JUAN,100000.0,100000.0,1,1.0
TOLIMA,VILLAHERMOSA,56200000.0,56200000.0,13,13.0
VALLE,ANSERMANUEVO,9000000.0,9000000.0,1,1.0
VALLE,BOLIVAR,5500000.0,5500000.0,2,2.0
VALLE,BUENAVENTURA,536326343.0,67040792.875,33,4.125
VALLE,BUGA,91957550.0,30652516.666666668,7,2.3333333333333335
VALLE,BUGALAGRANDE,93220459.0,23305114.75,8,2.0
VALLE,CAICEDONIA,57100000.0,28550000.0,4,2.0
VALLE,CALI,1965636536.0,327606089.3333333,94,15.666666666666666
VALLE,CALIMA (DARIEN),4207000.0,1402333.3333333333,4,1.3333333333333333
VALLE,CANDELARIA,108892900.0,36297633.333333336,20,6.666666666666667
VALLE,CARTAGO,173944400.0,43486100.0,11,2.75
VALLE,DAGUA,194452852.0,64817617.333333336,55,18.333333333333332
VALLE,EL CAIRO,20000000.0,20000000.0,2,2.0
VALLE,EL CERRITO,15950000.0,7975000.0,3,1.5
VALLE,EL DOVIO,15800000.0,15800000.0,4,4.0
VALLE,FLORIDA,75900000.0,25300000.0,13,4.333333333333333
VALLE,GINEBRA,9250860.0,9250860.0,3,3.0
VALLE,GUACARI,77700000.0,38850000.0,8,4.0
VALLE,JAMUNDI,192000000.0,38400000.0,15,3.0
VALLE,LA CUMBRE,2500000.0,2500000.0,1,1.0
VALLE,LA UNION,38000000.0,19000000.0,4,2.0
VALLE,LA VICTORIA,100000.0,100000.0,1,1.0
VALLE,PALMIRA,41000000.0,20500000.0,5,2.5
VALLE,PRADERA,35000000.0,35000000.0,2,2.0
VALLE,RIOFRIO,7000000.0,7000000.0,2,2.0
VALLE,ROLDANILLO,3000000.0,3000000.0,2,2.0
VALLE,SEVILLA,9000000.0,9000000.0,2,2.0
VALLE,TULUA,392447194.0,130815731.33333333,22,7.333333333333333
VALLE,ULLOA,37200000.0,18600000.0,2,1.0
VALLE,YOTOCO,15000000.0,15000000.0,1,1.0
VALLE,YUMBO,168977000.0,84488500.0,16,8.0
VALLE,ZARZAL,46250000.0,15416666.666666666,13,4.333333333333333
VAUPES,CARURU,350000.0,175000.0,2,1.0
VAUPES,MITU,100000.0,100000.0,1,1.0
VICHADA,CUMARIBO,25500000.0,12750000.0,4,2.0
VICHADA,LA PRIMAVERA,18000000.0,18000000.0,11,11.0
VICHADA,PUERTO CARREÑO,32700000.0,8175000.0,6,1.5
VICHADA,SANTA ROSALIA,42354000.0,42354000.0,8,8.0
