,,amount,amount,no_of_donors,no_of_donors
,,sum,mean,sum,mean
ANTIOQUIA,SEGOVIA,96300000.0,48150000.0,23,11.5
ANTIOQUIA,SONSON,79095000.0,39547500.0,9,4.5
ANTIOQUIA,SOPETRAN,11200000.0,3733333.3333333335,6,2.0
ANTIOQUIA,TAMESIS,28000000.0,28000000.0,3,3.0
ANTIOQUIA,TARAZA,46680000.0,23340000.0,9,4.5
ANTIOQUIA,TITIRIBI,8115000.0,4057500.0,2,1.0
ANTIOQUIA,TOLEDO,3000000.0,3000000.0,1,1.0
ANTIOQUIA,TURBO,826950000.0,206737500.0,83,20.75
ANTIOQUIA,URAMITA,4990000.0,4990000.0,1,1.0
ANTIOQUIA,VALDIVIA,32870000.0,10956666.666666666,7,2.3333333333333335
ANTIOQUIA,VALPARAISO,55200000.0,18400000.0,12,4.0
ANTIOQUIA,VENECIA,62500000.0,31250000.0,13,6.5
ANTIOQUIA,VIGIA DEL FUERTE,72000000.0,36000000.0,9,4.5
ANTIOQUIA,YALI,2000000.0,2000000.0,1,1.0
ANTIOQUIA,YARUMAL,17100000.0,5700000.0,4,1.3333333333333333
ANTIOQUIA,YONDO CASABE,55454363.0,13863590.75,19,4.75
ANTIOQUIA,ZARAGOZA,44390000.0,22195000.0,8,4.0
ARAUCA,ARAUCA,659122736.0,219707578.66666666,25,8.333333333333334
ARAUCA,ARAUQUITA,53000000.0,26500000.0,5,2.5
ARAUCA,CRAVO NORTE,45000000.0,45000000.0,5,5.0
ARAUCA,FORTUL,34000000.0,17000000.0,8,4.0
ARAUCA,PUERTO RONDON,24000000.0,12000000.0,2,1.0
ARAUCA,SARAVENA,71141850.0,23713950.0,9,3.0
ARAUCA,TAME,62726000.0,15681500.0,8,2.0
ATLANTICO,BARANOA,82000000.0,41000000.0,7,3.5
ATLANTICO,BARRANQUILLA,78042900.0,39021450.0,5,2.5
ATLANTICO,CAMPO DE LA CRUZ,74400000.0,74400000.0,6,6.0
ATLANTICO,CANDELARIA,100000.0,100000.0,1,1.0
ATLANTICO,MALAMBO,122540000.0,30635000.0,14,3.5
ATLANTICO,MANATI,100000.0,100000.0,1,1.0
ATLANTICO,PALMAR DE VARELA,15956240.0,5318746.666666667,5,1.6666666666666667
ATLANTICO,PIOJO,5100000.0,2550000.0,2,1.0
ATLANTICO,POLONUEVO,46300000.0,23150000.0,6,3.0
ATLANTICO,PONEDERA,5000000.0,5000000.0,1,1.0
ATLANTICO,PUERTO COLOMBIA,67545000.0,22515000.0,12,4.0
ATLANTICO,REPELON,20000000.0,20000000.0,4,4.0
ATLANTICO,SABANALARGA,167287894.0,83643947.0,17,8.5
ATLANTICO,SANTA LUCIA,43500000.0,43500000.0,7,7.0
ATLANTICO,SANTO TOMAS,7450000.0,3725000.0,3,1.5
ATLANTICO,SOLEDAD,251780000.0,62945000.0,23,5.75
ATLANTICO,SUAN,9100000.0,4550000.0,2,1.0
ATLANTICO,TUBARA,7100000.0,7100000.0,3,3.0
ATLANTICO,USIACURI,3100000.0,1550000.0,2,1.0
BOGOTA D.C.,BOGOTA D.C.,8195627060.83,1024453382.60375,341,42.625
BOLIVAR,ACHI,36000000.0,36000000.0,4,4.0
BOLIVAR,ARJONA,40610000.0,10152500.0,4,1.0
BOLIVAR,BARRANCO DE LOBA,16000000.0,16000000.0,6,6.0
BOLIVAR,CANTAGALLO,148200000.0,37050000.0,16,4.0
BOLIVAR,CARTAGENA,2504376215.0,357768030.71428573,133,19.0
BOLIVAR,CLEMENCIA,3000000.0,3000000.0,1,1.0
BOLIVAR,CORDOBA,50000000.0,50000000.0,3,3.0
BOLIVAR,EL CARMEN DE BOLIVAR,128320000.0,64160000.0,17,8.5
BOLIVAR,EL PEÑON,8000000.0,8000000.0,1,1.0
BOLIVAR,HATILLO DE LOBA,8600000.0,8600000.0,1,1.0
BOLIVAR,MAGANGUE,324033574.0,81008393.5,24,6.0
BOLIVAR,MAHATES,325000000.0,325000000.0,3,3.0
BOLIVAR,MARIA LA BAJA,57600000.0,14400000.0,7,1.75
BOLIVAR,MORALES,16640000.0,8320000.0,3,1.5
BOLIVAR,PINILLOS,200000.0,200000.0,1,1.0
BOLIVAR,SAN ESTANISLAO,21000000.0,21000000.0,3,3.0
BOLIVAR,SAN JACINTO DEL CAUCA,58445000.0,58445000.0,8,8.0
BOLIVAR,SAN JUAN NEPOMUCENO,39252500.0,19626250.0,9,4.5
BOLIVAR,SAN MARTIN DE LOBA,27700000.0,27700000.0,3,3.0
BOLIVAR,SAN PABLO,60060000.0,15015000.0,10,2.5
BOLIVAR,SANTA CATALINA,9000000.0,9000000.0,1,1.0
BOLIVAR,SANTA ROSA,10000000.0,10000000.0,1,1.0
BOLIVAR,SANTA ROSA DEL SUR,35000000.0,35000000.0,9,9.0
BOLIVAR,SIMITI,8700840.0,4350420.0,4,2.0
BOLIVAR,TALAIGUA NUEVO,900000.0,450000.0,2,1.0
BOLIVAR,TIQUISIO (PTO. RICO),4000000.0,4000000.0,1,1.0
BOLIVAR,TURBACO,28153444.0,9384481.333333334,8,2.6666666666666665
BOLIVAR,TURBANA,29765000.0,14882500.0,5,2.5
BOLIVAR,VILLANUEVA,500000.0,500000.0,1,1.0
BOYACA,ALMEIDA,20000000.0,20000000.0,1,1.0
BOYACA,ARCABUCO,5400000.0,2700000.0,2,1.0
BOYACA,BETEITIVA,100000.0,100000.0,1,1.0
BOYACA,CAMPOHERMOSO,5000000.0,5000000.0,2,2.0
BOYACA,CHINAVITA,13200000.0,13200000.0,8,8.0
BOYACA,CHIVATA,16000000.0,8000000.0,4,2.0
BOYACA,COPER,100000.0,100000.0,1,1.0
BOYACA,CUCAITA,2500000.0,2500000.0,3,3.0
BOYACA,DUITAMA,60582300.0,20194100.0,7,2.3333333333333335
BOYACA,FIRAVITOBA,725000.0,725000.0,2,2.0
BOYACA,GARAGOA,12300000.0,6150000.0,4,2.0
BOYACA,GUATEQUE,1000000.0,1000000.0,1,1.0
BOYACA,JERICO,21000000.0,21000000.0,2,2.0
BOYACA,LA VICTORIA,13450000.0,6725000.0,3,1.5
BOYACA,LABRANZAGRANDE,4500000.0,4500000.0,4,4.0
BOYACA,MONGUA,15910024.0,15910024.0,2,2.0
BOYACA,NOBSA,21190000.0,10595000.0,15,7.5
BOYACA,OTANCHE,200000.0,200000.0,1,1.0
BOYACA,PAEZ,1000000.0,1000000.0,1,1.0
BOYACA,PAIPA,1000000.0,1000000.0,1,1.0
BOYACA,PANQUEBA,200000.0,200000.0,1,1.0
BOYACA,PAZ DE RIO,40000000.0,40000000.0,4,4.0
BOYACA,PUERTO BOYACA,16000000.0,8000000.0,5,2.5
BOYACA,SACHICA,300000.0,300000.0,1,1.0
BOYACA,SAN EDUARDO,200000.0,200000.0,1,1.0
BOYACA,SAN JOSE DE PARE,5000000.0,5000000.0,1,1.0
BOYACA,SAN LUIS DE GACENO,10191000.0,10191000.0,7,7.0
BOYACA,SAN MATEO,200000.0,200000.0,1,1.0
BOYACA,SANTANA,28799902.85,28799902.85,11,11.0
BOYACA,SATIVANORTE,1600000.0,1600000.0,1,1.0
BOYACA,SIACHOQUE,100000.0,100000.0,1,1.0
BOYACA,SOCHA,200000.0,200000.0,1,1.0
BOYACA,SOCOTA,54000000.0,54000000.0,1,1.0
BOYACA,SOGAMOSO,231431021.0,38571836.833333336,22,3.6666666666666665
BOYACA,SOTAQUIRA,9400000.0,9400000.0,1,1.0
BOYACA,SUTAMARCHAN,2200000.0,2200000.0,1,1.0
BOYACA,TIBANA,100000.0,100000.0,1,1.0
BOYACA,TOPAGA,300000.0,300000.0,1,1.0
BOYACA,TOTA,4000000.0,4000000.0,1,1.0
BOYACA,TUNJA,315331000.0,157665500.0,58,29.0
BOYACA,TUNUNGUA,11000000.0,11000000.0,3,3.0
BOYACA,VILLA DE LEIVA,19200000.0,6400000.0,16,5.333333333333333
BOYACA,VIRACACHA,5140000.0,2570000.0,4,2.0
CALDAS,AGUADAS,26700000.0,26700000.0,3,3.0
CALDAS,ANSERMA,5000000.0,5000000.0,1,1.0
CALDAS,ARANZAZU,7100000.0,7100000.0,1,1.0
CALDAS,BELALCAZAR,25800000.0,12900000.0,4,2.0
CALDAS,CHINCHINA,35100000.0,11700000.0,9,3.0
CALDAS,LA DORADA,242951868.0,80983956.0,22,7.333333333333333
CALDAS,MANIZALES,676796142.0,169199035.5,71,17.75
CALDAS,MANZANARES,51000000.0,25500000.0,12,6.0
CALDAS,MARMATO,3050000.0,3050000.0,1,1.0
CALDAS,MARQUETALIA,5500000.0,5500000.0,3,3.0
CALDAS,NEIRA,45920000.0,22960000.0,18,9.0
CALDAS,PACORA,10000000.0,10000000.0,1,1.0
CALDAS,RIOSUCIO,24718000.0,12359000.0,5,2.5
CALDAS,SALAMINA,14100000.0,7050000.0,3,1.5
CALDAS,SAMANA,19000000.0,19000000.0,2,2.0
CALDAS,SUPIA,29600000.0,14800000.0,6,3.0
