codmpio,yearly,amount_sum,amount_mean,donors_sum,donors_mean,FARC1,Presencia_FARC
5001,2011,1428.77299125,357.1932478125,162,40.5,NA,Sin Presencia
5002,2011,18.3,18.3,4,4,NA,Sin Presencia
5004,2011,2.25,2.25,2,2,NA,Sin Presencia
5021,2011,0,0,1,1,NA,Sin Presencia
5030,2011,96.305327,13.757903857142857,39,5.571428571428571,NA,Sin Presencia
5031,2011,63.0775,21.02583333333333,34,11.333333333333334,NA,Sin Presencia
5034,2011,4.34,4.34,1,1,NA,Sin Presencia
5036,2011,4,2,3,1.5,NA,Sin Presencia
5038,2011,12,12,1,1,NA,Sin Presencia
5040,2011,25.3714,12.6857,4,2,1,Con Presencia
5042,2011,14.186647,7.0933235,14,7,NA,Sin Presencia
5044,2011,5,5,1,1,NA,Sin Presencia
5045,2011,414.2275,103.556875,56,14,1,Con Presencia
5051,2011,34.12864,11.376213333333334,13,4.333333333333333,NA,Sin Presencia
5055,2011,2,2,1,1,NA,Sin Presencia
5059,2011,0,0,0,0,NA,Sin Presencia
5079,2011,9.3,4.65,3,1.5,NA,Sin Presencia
5086,2011,5.766255,5.766255,2,2,NA,Sin Presencia
5088,2011,351.551821,175.7759105,46,23,NA,Sin Presencia
5091,2011,19.3,19.3,4,4,NA,Sin Presencia
5093,2011,27.5,13.75,7,3.5,NA,Sin Presencia
5101,2011,7.15,3.575,6,3,NA,Sin Presencia
5107,2011,2,2,1,1,1,Con Presencia
5113,2011,0,0,0,0,NA,Sin Presencia
5120,2011,23.59,11.795,4,2,NA,Sin Presencia
5125,2011,4.634591,2.3172955,3,1.5,1,Con Presencia
5129,2011,27.5,6.875,12,3,NA,Sin Presencia
5134,2011,2.92,2.92,3,3,1,Con Presencia
5138,2011,0,0,0,0,NA,Sin Presencia
5142,2011,20.619,20.619,16,16,NA,Sin Presencia
5145,2011,27.5,27.5,6,6,NA,Sin Presencia
5147,2011,120.726,30.1815,29,7.25,NA,Sin Presencia
5148,2011,21.3,7.1,14,4.666666666666667,NA,Sin Presencia
5150,2011,12.6,6.3,46,23,NA,Sin Presencia
5154,2011,44.214739,11.05368475,19,4.75,NA,Sin Presencia
5172,2011,45.416,22.708,17,8.5,NA,Sin Presencia
5190,2011,23.458129,7.819376333333333,16,5.333333333333333,NA,Sin Presencia
5197,2011,0,0,0,0,NA,Sin Presencia
5206,2011,2,2,1,1,NA,Sin Presencia
5209,2011,16.66,8.33,7,3.5,NA,Sin Presencia
5212,2011,30,7.5,12,3,NA,Sin Presencia
5234,2011,8.7,8.7,4,4,1,Con Presencia
5237,2011,17.139181,17.139181,36,36,NA,Sin Presencia
5240,2011,3.84,3.84,9,9,NA,Sin Presencia
5250,2011,74.356193,14.8712386,14,2.8,NA,Sin Presencia
5264,2011,6.830481,6.830481,3,3,NA,Sin Presencia
5266,2011,96.794904,48.397452,11,5.5,NA,Sin Presencia
5282,2011,10,10,2,2,NA,Sin Presencia
5284,2011,17.288154,8.644077,5,2.5,NA,Sin Presencia
5306,2011,0,0,0,0,NA,Sin Presencia
5308,2011,50.337,12.58425,19,4.75,NA,Sin Presencia
5310,2011,18.75,6.25,9,3,NA,Sin Presencia
5313,2011,4,4,2,2,NA,Sin Presencia
5315,2011,4,2,2,1,1,Con Presencia
5318,2011,38.34,9.585,17,4.25,NA,Sin Presencia
5321,2011,13.1,13.1,11,11,NA,Sin Presencia
5347,2011,31.06,10.353333333333333,11,3.6666666666666665,NA,Sin Presencia
5353,2011,8.55,8.55,2,2,NA,Sin Presencia
5360,2011,426.65055,142.21685,22,7.333333333333333,NA,Sin Presencia
5361,2011,24.5,24.5,8,8,1,Con Presencia
5364,2011,21.5,21.5,4,4,NA,Sin Presencia
5368,2011,26.955,6.73875,10,2.5,NA,Sin Presencia
5376,2011,5.11,2.555,13,6.5,NA,Sin Presencia
5380,2011,81,27,14,4.666666666666667,NA,Sin Presencia
5390,2011,24,12,3,1.5,NA,Sin Presencia
5400,2011,33.549831,11.183277,29,9.666666666666666,NA,Sin Presencia
5411,2011,0,0,0,0,NA,Sin Presencia
5425,2011,0,0,0,0,NA,Sin Presencia
5440,2011,4.5,4.5,4,4,NA,Sin Presencia
5467,2011,5.8,2.9,3,1.5,NA,Sin Presencia
