codmpio,yearly,amount_sum,amount_mean,donors_sum,donors_mean,FARC1,Presencia_FARC
5475,2011,52.8379,10.56758,26,5.2,NA,Sin Presencia
5480,2011,57.98,19.326666666666668,13,4.333333333333333,1,Con Presencia
5483,2011,0,0,0,0,NA,Sin Presencia
5490,2011,72.76064,24.25354666666667,21,7,NA,Sin Presencia
5495,2011,5,5,1,1,NA,Sin Presencia
5501,2011,0,0,0,0,NA,Sin Presencia
5541,2011,18,18,6,6,NA,Sin Presencia
5543,2011,0,0,0,0,NA,Sin Presencia
5576,2011,3,3,1,1,NA,Sin Presencia
5579,2011,26.5,6.625,6,1.5,NA,Sin Presencia
5585,2011,0,0,0,0,NA,Sin Presencia
5591,2011,58.166769,29.0833845,25,12.5,NA,Sin Presencia
5604,2011,39.5,19.75,11,5.5,NA,Sin Presencia
5607,2011,27.185,9.061666666666666,7,2.3333333333333335,NA,Sin Presencia
5615,2011,177.885192,29.647532000000002,53,8.833333333333334,NA,Sin Presencia
5628,2011,7.1,3.55,7,3.5,NA,Sin Presencia
5631,2011,250.4705,62.617625,71,17.75,NA,Sin Presencia
5642,2011,15,7.5,4,2,NA,Sin Presencia
5647,2011,13.2,6.6,4,2,1,Con Presencia
5649,2011,15,5,5,1.6666666666666667,NA,Sin Presencia
5652,2011,0,0,0,0,NA,Sin Presencia
5656,2011,37.3,12.433333333333334,5,1.6666666666666667,NA,Sin Presencia
5658,2011,3.6,3.6,2,2,NA,Sin Presencia
5659,2011,59.492,19.83066666666667,18,6,NA,Sin Presencia
5660,2011,48.220554,24.110277,19,9.5,NA,Sin Presencia
5664,2011,32.5915,16.29575,2,1,NA,Sin Presencia
5665,2011,34,34,7,7,NA,Sin Presencia
5667,2011,5,5,1,1,NA,Sin Presencia
5670,2011,0,0,0,0,NA,Sin Presencia
5674,2011,5,5,1,1,NA,Sin Presencia
5679,2011,54.0718,18.023933333333332,11,3.6666666666666665,NA,Sin Presencia
5686,2011,33.5,33.5,11,11,NA,Sin Presencia
5690,2011,1.32,0.66,2,1,NA,Sin Presencia
5697,2011,14.252487,7.1262435,10,5,NA,Sin Presencia
5736,2011,38,19,8,4,NA,Sin Presencia
5756,2011,14.42,14.42,24,24,NA,Sin Presencia
5761,2011,4.28437,2.142185,2,1,NA,Sin Presencia
5789,2011,20.75,20.75,11,11,NA,Sin Presencia
5790,2011,50.235,50.235,44,44,NA,Sin Presencia
5792,2011,21.9,21.9,4,4,NA,Sin Presencia
5809,2011,10.98,10.98,7,7,NA,Sin Presencia
5819,2011,0,0,0,0,1,Con Presencia
5837,2011,390.804775,130.26825833333334,43,14.333333333333334,NA,Sin Presencia
5842,2011,5.8,5.8,2,2,NA,Sin Presencia
5847,2011,9.5,4.75,4,2,NA,Sin Presencia
5854,2011,10.5,10.5,7,7,1,Con Presencia
5856,2011,36.9876,9.2469,9,2.25,NA,Sin Presencia
5858,2011,15.778229,7.8891145,6,3,NA,Sin Presencia
5861,2011,45.449624,11.362406,23,5.75,NA,Sin Presencia
5873,2011,37.7,12.566666666666666,20,6.666666666666667,1,Con Presencia
5885,2011,0,0,0,0,NA,Sin Presencia
5887,2011,6.1,3.05,2,1,1,Con Presencia
5890,2011,8.74595,4.372975,4,2,NA,Sin Presencia
5893,2011,70.8039,17.700975,8,2,1,Con Presencia
5895,2011,12.960735,12.960735,2,2,NA,Sin Presencia
8001,2011,1404.104354,468.03478466666667,107,35.666666666666664,NA,Sin Presencia
8078,2011,25,12.5,2,1,NA,Sin Presencia
8137,2011,31.07025,10.35675,6,2,NA,Sin Presencia
8141,2011,8,8,2,2,NA,Sin Presencia
8296,2011,58.310648,58.310648,9,9,NA,Sin Presencia
8372,2011,56.85,56.85,10,10,NA,Sin Presencia
8421,2011,8.34,8.34,4,4,NA,Sin Presencia
8433,2011,73.46,36.73,3,1.5,NA,Sin Presencia
8436,2011,0,0,0,0,NA,Sin Presencia
8520,2011,10,10,3,3,NA,Sin Presencia
8549,2011,15,7.5,3,1.5,NA,Sin Presencia
8558,2011,20,20,4,4,NA,Sin Presencia
8560,2011,2.8,1.4,2,1,NA,Sin Presencia
8573,2011,81.909559,40.9547795,8,4,NA,Sin Presencia
8606,2011,2,2,4,4,NA,Sin Presencia
8634,2011,0,0,0,0,NA,Sin Presencia
8638,2011,112.211742,18.701957,13,2.1666666666666665,NA,Sin Presencia
8675,2011,1,1,8,8,NA,Sin Presencia
8685,2011,6.995,3.4975,3,1.5,NA,Sin Presencia
8758,2011,620.51,206.83666666666664,37,12.333333333333334,NA,Sin Presencia
8770,2011,0,0,0,0,NA,Sin Presencia
8832,2011,14.38,7.19,4,2,NA,Sin Presencia
8849,2011,1.2,1.2,1,1,NA,Sin Presencia
11001,2011,4127.34755332,458.5941725911111,278,30.88888888888889,NA,Sin Presencia
13001,2011,1646.972282,329.39445639999997,112,22.4,NA,Sin Presencia
13006,2011,42,21,8,4,NA,Sin Presencia
13030,2011,0,0,0,0,NA,Sin Presencia
13042,2011,0,0,0,0,NA,Sin Presencia
13052,2011,64.573,21.52433333333333,26,8.666666666666666,NA,Sin Presencia
13062,2011,0,0,0,0,NA,Sin Presencia
13074,2011,62.8,31.4,19,9.5,NA,Sin Presencia
13140,2011,0,0,0,0,NA,Sin Presencia
13160,2011,16.95,8.475,4,2,NA,Sin Presencia
13188,2011,12.6,12.6,4,4,NA,Sin Presencia
13212,2011,17,8.5,5,2.5,NA,Sin Presencia
13222,2011,14,14,3,3,NA,Sin Presencia
13244,2011,37.5,18.75,7,3.5,NA,Sin Presencia
13248,2011,11.5,11.5,3,3,NA,Sin Presencia
13268,2011,0,0,0,0,NA,Sin Presencia
13300,2011,4,4,1,1,NA,Sin Presencia
13430,2011,43.94,10.985,12,3,NA,Sin Presencia
13433,2011,0,0,0,0,NA,Sin Presencia
13440,2011,15,15,3,3,NA,Sin Presencia
13442,2011,6.5,6.5,4,4,NA,Sin Presencia
13458,2011,0,0,0,0,NA,Sin Presencia
13468,2011,0.3,0.3,1,1,NA,Sin Presencia
13473,2011,57,57,2,2,NA,Sin Presencia
13490,2011,5,5,1,1,NA,Sin Presencia
13549,2011,10.2,5.1,3,1.5,NA,Sin Presencia
13580,2011,29.26,29.26,6,6,NA,Sin Presencia
13600,2011,32.44,10.813333333333334,9,3,NA,Sin Presencia
13620,2011,0,0,0,0,NA,Sin Presencia
13647,2011,25,25,2,2,NA,Sin Presencia
13650,2011,10,10,2,2,NA,Sin Presencia
13654,2011,0,0,0,0,NA,Sin Presencia
13655,2011,16.6,16.6,17,17,NA,Sin Presencia
13657,2011,0,0,0,0,NA,Sin Presencia
13667,2011,4.5,2.25,2,1,NA,Sin Presencia
13670,2011,35.5,11.833333333333334,12,4,NA,Sin Presencia
13673,2011,20.755,10.3775,5,2.5,NA,Sin Presencia
13683,2011,0,0,0,0,NA,Sin Presencia
13688,2011,24.5,12.25,4,2,1,Con Presencia
13744,2011,51.6,17.2,19,6.333333333333333,NA,Sin Presencia
13760,2011,0,0,0,0,NA,Sin Presencia
13780,2011,49.8345,12.458625,21,5.25,NA,Sin Presencia
13810,2011,0,0,0,0,NA,Sin Presencia
13836,2011,0,0,0,0,NA,Sin Presencia
13838,2011,54.8,27.4,18,9,NA,Sin Presencia
13873,2011,18.845,9.4225,5,2.5,NA,Sin Presencia
13894,2011,20.22,10.11,5,2.5,NA,Sin Presencia
15001,2011,113.31,113.31,31,31,NA,Sin Presencia
15022,2011,0,0,0,0,NA,Sin Presencia
15047,2011,0,0,0,0,NA,Sin Presencia
15051,2011,0,0,1,1,NA,Sin Presencia
15087,2011,3.7315,3.7315,1,1,NA,Sin Presencia
15090,2011,0,0,0,0,NA,Sin Presencia
15092,2011,0,0,0,0,NA,Sin Presencia
15097,2011,0,0,0,0,NA,Sin Presencia
15104,2011,5.3,5.3,3,3,NA,Sin Presencia
15106,2011,3.46143,3.46143,3,3,NA,Sin Presencia
15109,2011,3,3,1,1,NA,Sin Presencia
15114,2011,5.85,2.925,2,1,NA,Sin Presencia
15131,2011,0,0,0,0,NA,Sin Presencia
15135,2011,3,3,2,2,NA,Sin Presencia
15162,2011,35,35,3,3,NA,Sin Presencia
15172,2011,12.865,12.865,14,14,NA,Sin Presencia
15176,2011,9.2,4.6,2,1,NA,Sin Presencia
15180,2011,0,0,0,0,NA,Sin Presencia
15183,2011,0,0,0,0,NA,Sin Presencia
15185,2011,0,0,0,0,NA,Sin Presencia
15187,2011,0,0,0,0,NA,Sin Presencia
15189,2011,0,0,0,0,NA,Sin Presencia
15204,2011,26,26,6,6,NA,Sin Presencia
15212,2011,0,0,0,0,NA,Sin Presencia
15215,2011,5.3,5.3,4,4,NA,Sin Presencia
15218,2011,0,0,0,0,NA,Sin Presencia
15223,2011,0,0,0,0,NA,Sin Presencia
15224,2011,0,0,1,1,NA,Sin Presencia
15226,2011,0,0,0,0,NA,Sin Presencia
15232,2011,0,0,0,0,NA,Sin Presencia
15236,2011,2.7,2.7,1,1,NA,Sin Presencia
15238,2011,0.4126,0.2063,3,1.5,NA,Sin Presencia
15244,2011,0,0,0,0,NA,Sin Presencia
15248,2011,0,0,0,0,NA,Sin Presencia
15272,2011,0,0,0,0,NA,Sin Presencia
15276,2011,0,0,0,0,NA,Sin Presencia
15293,2011,0.5,0.5,1,1,NA,Sin Presencia
15296,2011,0,0,0,0,NA,Sin Presencia
15299,2011,2.3,1.15,3,1.5,NA,Sin Presencia
15317,2011,0,0,0,0,NA,Sin Presencia
15322,2011,0,0,0,0,NA,Sin Presencia
15325,2011,0,0,0,0,NA,Sin Presencia
15332,2011,0,0,0,0,NA,Sin Presencia
15362,2011,0,0,0,0,NA,Sin Presencia
15367,2011,4,4,1,1,NA,Sin Presencia
15368,2011,0,0,0,0,NA,Sin Presencia
15377,2011,0,0,0,0,NA,Sin Presencia
15380,2011,0,0,0,0,NA,Sin Presencia
15401,2011,35,17.5,21,10.5,NA,Sin Presencia
15403,2011,4,4,2,2,NA,Sin Presencia
15407,2011,29.5,29.5,5,5,NA,Sin Presencia
15425,2011,8.7195,8.7195,7,7,NA,Sin Presencia
15442,2011,0,0,0,0,NA,Sin Presencia
15455,2011,0,0,0,0,NA,Sin Presencia
15464,2011,1.5,1.5,1,1,NA,Sin Presencia
15466,2011,2,2,1,1,NA,Sin Presencia
15469,2011,3.5,3.5,1,1,NA,Sin Presencia
15476,2011,0,0,0,0,NA,Sin Presencia
15480,2011,7.5,7.5,2,2,NA,Sin Presencia
15491,2011,5.15445,5.15445,10,10,NA,Sin Presencia
15494,2011,5.7,2.85,2,1,NA,Sin Presencia
15500,2011,37.3,18.65,4,2,NA,Sin Presencia
15507,2011,0,0,0,0,NA,Sin Presencia
15511,2011,0,0,0,0,NA,Sin Presencia
15514,2011,0,0,0,0,NA,Sin Presencia
15516,2011,0,0,0,0,NA,Sin Presencia
15518,2011,0,0,0,0,1,Con Presencia
15522,2011,0,0,0,0,NA,Sin Presencia
15531,2011,5,5,1,1,NA,Sin Presencia
15533,2011,0,0,0,0,NA,Sin Presencia
15537,2011,11.838,5.919,7,3.5,NA,Sin Presencia
15542,2011,0,0,0,0,NA,Sin Presencia
15550,2011,0,0,0,0,1,Con Presencia
15572,2011,96.65,24.1625,48,12,NA,Sin Presencia
15580,2011,14,14,5,5,NA,Sin Presencia
15599,2011,1,1,1,1,NA,Sin Presencia
15600,2011,6,6,3,3,NA,Sin Presencia
15621,2011,0,0,0,0,NA,Sin Presencia
15632,2011,0,0,0,0,NA,Sin Presencia
15638,2011,0,0,0,0,NA,Sin Presencia
15646,2011,23,23,4,4,NA,Sin Presencia
15660,2011,0,0,0,0,NA,Sin Presencia
15664,2011,0,0,1,1,NA,Sin Presencia
15667,2011,0,0,0,0,NA,Sin Presencia
15673,2011,0,0,1,1,NA,Sin Presencia
15676,2011,0,0,0,0,NA,Sin Presencia
15681,2011,0,0,0,0,NA,Sin Presencia
15686,2011,2.915,2.915,1,1,NA,Sin Presencia
15690,2011,0,0,0,0,NA,Sin Presencia
15693,2011,5,5,1,1,NA,Sin Presencia
15696,2011,0,0,0,0,NA,Sin Presencia
15720,2011,3.5,3.5,2,2,NA,Sin Presencia
15723,2011,5.8,5.8,1,1,NA,Sin Presencia
15740,2011,0,0,0,0,NA,Sin Presencia
15753,2011,0,0,0,0,NA,Sin Presencia
15755,2011,0,0,0,0,NA,Sin Presencia
15757,2011,0,0,0,0,NA,Sin Presencia
15759,2011,89.86,89.86,6,6,NA,Sin Presencia
15761,2011,5.8,5.8,1,1,NA,Sin Presencia
15762,2011,0,0,0,0,NA,Sin Presencia
15763,2011,0,0,0,0,NA,Sin Presencia
15764,2011,2.66973,2.66973,1,1,NA,Sin Presencia
15774,2011,1.8,1.8,2,2,NA,Sin Presencia
15776,2011,7.14,7.14,3,3,NA,Sin Presencia
15778,2011,0,0,0,0,NA,Sin Presencia
15790,2011,0,0,0,0,NA,Sin Presencia
15798,2011,0.9,0.9,9,9,NA,Sin Presencia
15804,2011,0,0,0,0,NA,Sin Presencia
15806,2011,25.56,25.56,14,14,NA,Sin Presencia
15808,2011,0,0,0,0,NA,Sin Presencia
15810,2011,0,0,0,0,NA,Sin Presencia
15814,2011,2,2,1,1,NA,Sin Presencia
15816,2011,0,0,0,0,NA,Sin Presencia
15820,2011,0,0,0,0,NA,Sin Presencia
15822,2011,0,0,0,0,NA,Sin Presencia
15832,2011,0,0,0,0,NA,Sin Presencia
15835,2011,0,0,1,1,NA,Sin Presencia
15837,2011,3,3,1,1,NA,Sin Presencia
15839,2011,0,0,0,0,NA,Sin Presencia
15842,2011,0,0,0,0,NA,Sin Presencia
15861,2011,8.2,4.1,4,2,NA,Sin Presencia
15879,2011,0,0,0,0,NA,Sin Presencia
15897,2011,0,0,0,0,NA,Sin Presencia
17001,2011,333.21,83.3025,86,21.5,NA,Sin Presencia
17013,2011,0,0,1,1,NA,Sin Presencia
17042,2011,0,0,0,0,NA,Sin Presencia
17050,2011,46.2,15.4,8,2.6666666666666665,NA,Sin Presencia
17088,2011,0,0,0,0,NA,Sin Presencia
17174,2011,20.5,10.25,7,3.5,NA,Sin Presencia
17272,2011,9,4.5,2,1,NA,Sin Presencia
17380,2011,8.632714,8.632714,7,7,NA,Sin Presencia
17388,2011,0,0,0,0,NA,Sin Presencia
17433,2011,40.2,20.1,7,3.5,NA,Sin Presencia
17442,2011,10,10,2,2,NA,Sin Presencia
17444,2011,0,0,0,0,NA,Sin Presencia
17446,2011,0,0,0,0,NA,Sin Presencia
17486,2011,0,0,0,0,NA,Sin Presencia
17495,2011,0,0,0,0,NA,Sin Presencia
17513,2011,0,0,0,0,NA,Sin Presencia
17524,2011,7,7,25,25,NA,Sin Presencia
17541,2011,20,20,4,4,NA,Sin Presencia
17614,2011,48.225365,9.645073,18,3.6,NA,Sin Presencia
17616,2011,0,0,0,0,NA,Sin Presencia
17653,2011,0.6475,0.6475,2,2,NA,Sin Presencia
17662,2011,20,20,2,2,NA,Sin Presencia
17665,2011,0,0,0,0,NA,Sin Presencia
17777,2011,0.65,0.65,1,1,NA,Sin Presencia
17867,2011,21.4,21.4,3,3,NA,Sin Presencia
17873,2011,22.2,11.1,12,6,NA,Sin Presencia
17877,2011,8,8,2,2,NA,Sin Presencia
18001,2011,93.76,31.253333333333334,11,3.6666666666666665,1,Con Presencia
18029,2011,29.1,14.55,7,3.5,NA,Sin Presencia
18094,2011,24.189248,12.094624,10,5,NA,Sin Presencia
18150,2011,47.690232,15.896744,10,3.3333333333333335,NA,Sin Presencia
18205,2011,10.5,5.25,3,1.5,NA,Sin Presencia
18247,2011,13.1,6.55,5,2.5,1,Con Presencia
18256,2011,8.2301,8.2301,4,4,NA,Sin Presencia
18410,2011,27,27,9,9,1,Con Presencia
18460,2011,15,15,1,1,NA,Sin Presencia
18479,2011,5.85,2.925,5,2.5,NA,Sin Presencia
18592,2011,21.8,10.9,6,3,1,Con Presencia
18610,2011,0.45,0.45,2,2,NA,Sin Presencia
18753,2011,39.497835,19.7489175,36,18,1,Con Presencia
18756,2011,23.4,11.7,6,3,1,Con Presencia
18785,2011,11,11,2,2,NA,Sin Presencia
18860,2011,0,0,0,0,NA,Sin Presencia
19001,2011,228.715041,45.743008200000006,42,8.4,NA,Sin Presencia
19022,2011,0,0,0,0,NA,Sin Presencia
19050,2011,19.44,9.72,16,8,1,Con Presencia
19075,2011,36.31,18.155,11,5.5,1,Con Presencia
19100,2011,15,15,2,2,NA,Sin Presencia
19110,2011,1.5,1.5,1,1,1,Con Presencia
19130,2011,21.4,10.7,5,2.5,1,Con Presencia
19137,2011,0,0,0,0,1,Con Presencia
19142,2011,22.36,11.18,13,6.5,1,Con Presencia
19212,2011,0,0,0,0,1,Con Presencia
19256,2011,0,0,0,0,1,Con Presencia
19290,2011,0.85,0.85,1,1,NA,Sin Presencia
19300,2011,37.5,12.5,11,3.6666666666666665,1,Con Presencia
19318,2011,8.6,8.6,3,3,1,Con Presencia
19355,2011,10.5,10.5,5,5,NA,Sin Presencia
19364,2011,19.5,9.75,6,3,1,Con Presencia
19392,2011,4,4,1,1,NA,Sin Presencia
19397,2011,17,8.5,6,3,NA,Sin Presencia
19418,2011,7,3.5,2,1,1,Con Presencia
19450,2011,8.85,4.425,10,5,NA,Sin Presencia
19455,2011,14.8,14.8,3,3,1,Con Presencia
19473,2011,17.2,17.2,5,5,1,Con Presencia
19513,2011,14.5,7.25,3,1.5,NA,Sin Presencia
19517,2011,4,4,1,1,NA,Sin Presencia
19532,2011,5,5,1,1,1,Con Presencia
19533,2011,32.1,16.05,6,3,1,Con Presencia
19548,2011,14,14,4,4,1,Con Presencia
19573,2011,80.15,20.0375,25,6.25,NA,Sin Presencia
19585,2011,14,14,4,4,NA,Sin Presencia
19622,2011,10.05,10.05,3,3,NA,Sin Presencia
19693,2011,26,13,7,3.5,NA,Sin Presencia
19698,2011,47.661523,15.887174333333334,12,4,NA,Sin Presencia
19701,2011,7.304,3.652,2,1,NA,Sin Presencia
19743,2011,26.10369,13.051845,22,11,NA,Sin Presencia
19760,2011,19.5,9.75,5,2.5,NA,Sin Presencia
19780,2011,2,2,1,1,1,Con Presencia
19785,2011,6.5,6.5,2,2,NA,Sin Presencia
19807,2011,23.27,7.756666666666667,7,2.3333333333333335,NA,Sin Presencia
19809,2011,56.5,28.25,10,5,1,Con Presencia
19821,2011,12.65,6.325,12,6,1,Con Presencia
19824,2011,51,12.75,9,2.25,NA,Sin Presencia
19845,2011,26.41,13.205,7,3.5,NA,Sin Presencia
20001,2011,467.5,116.875,24,6,NA,Sin Presencia
20011,2011,86,43,4,2,NA,Sin Presencia
20013,2011,87.17,43.585,11,5.5,1,Con Presencia
20032,2011,0,0,0,0,NA,Sin Presencia
20045,2011,9.5,4.75,2,1,NA,Sin Presencia
20060,2011,28,28,3,3,NA,Sin Presencia
20175,2011,8.2,4.1,3,1.5,NA,Sin Presencia
20178,2011,12.2,6.1,3,1.5,NA,Sin Presencia
20228,2011,29.065,9.688333333333334,9,3,NA,Sin Presencia
20238,2011,25.33,25.33,6,6,NA,Sin Presencia
20250,2011,0,0,0,0,NA,Sin Presencia
20295,2011,0,0,0,0,NA,Sin Presencia
20310,2011,0.5,0.5,1,1,NA,Sin Presencia
20383,2011,0,0,0,0,NA,Sin Presencia
20400,2011,6.5,6.5,1,1,NA,Sin Presencia
20443,2011,26,26,3,3,1,Con Presencia
20517,2011,10,10,1,1,NA,Sin Presencia
20550,2011,0,0,0,0,NA,Sin Presencia
20570,2011,0,0,0,0,NA,Sin Presencia
20614,2011,2.5,2.5,1,1,NA,Sin Presencia
20621,2011,10.88,10.88,3,3,NA,Sin Presencia
20710,2011,0,0,0,0,NA,Sin Presencia
20750,2011,0,0,0,0,1,Con Presencia
20770,2011,30.8358,30.8358,2,2,NA,Sin Presencia
20787,2011,41.75,20.875,10,5,NA,Sin Presencia
23001,2011,407.65,135.88333333333335,27,9,NA,Sin Presencia
23068,2011,45.6,22.8,5,2.5,NA,Sin Presencia
23079,2011,0,0,0,0,NA,Sin Presencia
23090,2011,12,6,3,1.5,NA,Sin Presencia
23162,2011,51.82048,51.82048,4,4,NA,Sin Presencia
23168,2011,19.8,19.8,5,5,NA,Sin Presencia
23182,2011,0,0,0,0,NA,Sin Presencia
23189,2011,0,0,0,0,NA,Sin Presencia
23300,2011,19,9.5,3,1.5,NA,Sin Presencia
23350,2011,15.6,15.6,3,3,NA,Sin Presencia
23417,2011,53,53,3,3,NA,Sin Presencia
23419,2011,38,38,6,6,NA,Sin Presencia
23464,2011,0,0,0,0,NA,Sin Presencia
23466,2011,15,15,2,2,NA,Sin Presencia
23500,2011,4,4,1,1,NA,Sin Presencia
23555,2011,30,30,1,1,NA,Sin Presencia
23570,2011,13.35,13.35,3,3,NA,Sin Presencia
23574,2011,0,0,0,0,NA,Sin Presencia
23580,2011,55,27.5,6,3,NA,Sin Presencia
23586,2011,0,0,0,0,NA,Sin Presencia
23660,2011,111.6,27.9,13,3.25,NA,Sin Presencia
23670,2011,0,0,0,0,NA,Sin Presencia
23672,2011,0,0,0,0,NA,Sin Presencia
23675,2011,5,5,1,1,NA,Sin Presencia
23678,2011,33,16.5,8,4,NA,Sin Presencia
23682,2011,0,0,0,0,NA,Sin Presencia
23686,2011,32.3,16.15,18,9,NA,Sin Presencia
23807,2011,0,0,0,0,1,Con Presencia
23815,2011,0,0,0,0,NA,Sin Presencia
23855,2011,60,20,16,5.333333333333333,NA,Sin Presencia
25001,2011,2.6074,2.6074,1,1,NA,Sin Presencia
25019,2011,8,8,2,2,NA,Sin Presencia
25035,2011,6.5,3.25,3,1.5,NA,Sin Presencia
25040,2011,1.23431,1.23431,1,1,NA,Sin Presencia
25053,2011,13.55,3.3875,11,2.75,NA,Sin Presencia
25086,2011,0,0,0,0,NA,Sin Presencia
25095,2011,10,10,2,2,NA,Sin Presencia
25099,2011,3,3,1,1,NA,Sin Presencia
25120,2011,1.5,1.5,1,1,NA,Sin Presencia
25123,2011,17.95,8.975,7,3.5,NA,Sin Presencia
25126,2011,64.5,21.5,16,5.333333333333333,NA,Sin Presencia
25148,2011,0.14,0.14,1,1,NA,Sin Presencia
25151,2011,0,0,0,0,NA,Sin Presencia
25154,2011,0.6,0.6,1,1,NA,Sin Presencia
25168,2011,8,4,4,2,NA,Sin Presencia
25175,2011,73.134,36.567,11,5.5,NA,Sin Presencia
25178,2011,10.7,10.7,3,3,NA,Sin Presencia
25181,2011,0,0,0,0,NA,Sin Presencia
25183,2011,5,5,1,1,NA,Sin Presencia
25200,2011,0,0,0,0,NA,Sin Presencia
25214,2011,62.8,20.933333333333334,13,4.333333333333333,NA,Sin Presencia
25224,2011,6.7,3.35,5,2.5,NA,Sin Presencia
25245,2011,37.18251,12.39417,23,7.666666666666667,NA,Sin Presencia
25258,2011,5.8,5.8,5,5,NA,Sin Presencia
25260,2011,43.4505,21.72525,9,4.5,NA,Sin Presencia
25269,2011,98.7664,32.922133333333335,16,5.333333333333333,NA,Sin Presencia
25279,2011,31.21,31.21,4,4,NA,Sin Presencia
25281,2011,0,0,0,0,NA,Sin Presencia
25286,2011,88.926415,29.64213833333333,8,2.6666666666666665,NA,Sin Presencia
25288,2011,2.8,2.8,1,1,NA,Sin Presencia
25290,2011,86.9,43.45,5,2.5,NA,Sin Presencia
25293,2011,47.5,23.75,11,5.5,NA,Sin Presencia
25295,2011,19.9,19.9,16,16,NA,Sin Presencia
25297,2011,0,0,0,0,NA,Sin Presencia
25299,2011,0,0,0,0,NA,Sin Presencia
