codmpio,amount_sum,amount_mean,donors_sum,donors_mean,yearly
68101,5,5,1,1,2015
68001,1299.608269,324.90206725,50,12.5,2015
68121,33,33,5,5,2015
68147,8,8,1,1,2015
68152,0.3,0.15,2,1,2015
68169,4.335,4.335,2,2,2015
68176,10,10,1,1,2015
68190,55,55,9,9,2015
68207,82.2,82.2,9,9,2015
68235,18,18,2,2,2015
68245,19,19,3,3,2015
68250,0.2,0.2,1,1,2015
68255,51.5,25.75,9,4.5,2015
68271,29.5,14.75,7,3.5,2015
68276,477.88,159.29333333333335,15,5,2015
68296,5,5,1,1,2015
68298,4,4,1,1,2015
68307,1.1,1.1,2,2,2015
68318,0.1,0.1,1,1,2015
68397,2,2,1,1,2015
68385,32,16,5,2.5,2015
68406,20.93,20.93,3,3,2015
68468,15,15,3,3,2015
68500,19.04,9.52,14,7,2015
68522,2,2,1,1,2015
68572,3.5,3.5,2,2,2015
68573,9,9,1,1,2015
68615,2.25,2.25,1,1,2015
68655,20,10,3,1.5,2015
68669,0.1,0.1,1,1,2015
68679,47.53865,9.50773,15,3,2015
68682,0.1,0.1,1,1,2015
68684,0.1,0.1,1,1,2015
68689,22,22,3,3,2015
68705,17.1,8.55,5,2.5,2015
68720,28.2,28.2,5,5,2015
68745,20,20,4,4,2015
68855,60,60,3,3,2015
68895,0.2,0.2,1,1,2015
70124,0.6,0.6,1,1,2015
70230,8.8,8.8,4,4,2015
70215,14.19,7.095,2,1,2015
70221,52.7,17.566666666666666,11,3.6666666666666665,2015
70233,24.467519,24.467519,2,2,2015
70235,0.38,0.38,1,1,2015
70265,12.55,12.55,4,4,2015
70429,16.2,8.1,5,2.5,2015
70473,7,7,2,2,2015
70523,0.1,0.1,1,1,2015
70708,39.7,9.925,7,1.75,2015
70713,0.1,0.1,1,1,2015
70717,1.1,0.55,2,1,2015
70742,7.861973,3.9309865,2,1,2015
70001,450.4431,112.610775,24,6,2015
70823,22.5,22.5,3,3,2015
73030,0.1,0.1,1,1,2015
73043,8,8,1,1,2015
73055,3,3,1,1,2015
73067,0.2,0.2,1,1,2015
73124,9,9,1,1,2015
73148,3,3,2,2,2015
73152,32.15,32.15,9,9,2015
73168,102,51,7,3.5,2015
73217,18.8,18.8,2,2,2015
73226,0.3,0.3,1,1,2015
73268,35.0997,17.54985,4,2,2015
73270,4,4,2,2,2015
73275,38.5,38.5,5,5,2015
73283,48.5,24.25,7,3.5,2015
73319,10,10,1,1,2015
73347,10.8,5.4,2,1,2015
73001,657.142222,131.42844440000002,29,5.8,2015
73352,25.0835,6.270875,11,2.75,2015
73411,36,12,8,2.6666666666666665,2015
73443,29.073,14.5365,5,2.5,2015
73449,74.5,24.833333333333332,10,3.3333333333333335,2015
73461,5,2.5,2,1,2015
73504,10,10,1,1,2015
73520,5,5,1,1,2015
73547,9.6,4.8,3,1.5,2015
73563,9.4,9.4,1,1,2015
73585,1.26,1.26,1,1,2015
73622,5.4,2.7,5,2.5,2015
73624,5.2,5.2,1,1,2015
73671,53.8956,13.4739,9,2.25,2015
73675,23,23,5,5,2015
73678,0.1572,0.0786,2,1,2015
73686,17.45,8.725,7,3.5,2015
73770,13.5,6.75,3,1.5,2015
73854,0.1,0.1,1,1,2015
73870,56.2,56.2,13,13,2015
76041,9,9,1,1,2015
76100,5.5,5.5,2,2,2015
76109,536.326343,67.040792875,33,4.125,2015
76111,91.95755,30.652516666666667,7,2.3333333333333335,2015
76113,93.220459,23.30511475,8,2,2015
76122,57.1,28.55,4,2,2015
76001,1965.636536,327.60608933333333,94,15.666666666666666,2015
76126,4.207,1.4023333333333332,4,1.3333333333333333,2015
76130,108.8929,36.29763333333334,20,6.666666666666667,2015
76147,173.9444,43.4861,11,2.75,2015
76233,194.452852,64.81761733333333,55,18.333333333333332,2015
76246,20,20,2,2,2015
76248,15.95,7.975,3,1.5,2015
76250,15.8,15.8,4,4,2015
76275,75.9,25.3,13,4.333333333333333,2015
76306,9.25086,9.25086,3,3,2015
76318,77.7,38.85,8,4,2015
76364,192,38.4,15,3,2015
76377,2.5,2.5,1,1,2015
76400,38,19,4,2,2015
76403,0.1,0.1,1,1,2015
76520,41,20.5,5,2.5,2015
76563,35,35,2,2,2015
76616,7,7,2,2,2015
76622,3,3,2,2,2015
76736,9,9,2,2,2015
76834,392.447194,130.81573133333333,22,7.333333333333333,2015
76845,37.2,18.6,2,1,2015
76890,15,15,1,1,2015
76892,168.977,84.4885,16,8,2015
76895,46.25,15.416666666666666,13,4.333333333333333,2015
97161,0.35,0.175,2,1,2015
97001,0.1,0.1,1,1,2015
99773,25.5,12.75,4,2,2015
99524,18,18,11,11,2015
99001,32.7,8.175,6,1.5,2015
99624,42.354,42.354,8,8,2015
91001,108.97,21.794,9,1.8,2019
5002,70.60655,14.12131,28,5.6,2019
5004,5,5,1,1,2019
5030,30.955879,10.318626333333334,6,2,2019
5031,26.25,13.125,7,3.5,2019
5034,156.794425,52.264808333333335,28,9.333333333333334,2019
5036,1.5,1.5,1,1,2019
5040,59.00542,14.751355,12,3,2019
5042,161.299476,32.2598952,24,4.8,2019
5044,16.2,16.2,2,2,2019
5045,723.049721,241.01657366666666,45,15,2019
5051,90.56,45.28,15,7.5,2019
5055,34.129,17.0645,17,8.5,2019
5059,16.1824,5.3941333333333334,4,1.3333333333333333,2019
5079,87.524981,29.17499366666667,20,6.666666666666667,2019
5088,547.859464,91.30991066666667,30,5,2019
5091,16.6,5.533333333333333,5,1.6666666666666667,2019
5093,52,17.333333333333332,11,3.6666666666666665,2019
5101,2.2,0.7333333333333334,5,1.6666666666666667,2019
5107,11.8,11.8,6,6,2019
5113,42,42,5,5,2019
5120,4.1,2.05,2,1,2019
5125,0.1,0.1,1,1,2019
5129,116.668696,23.3337392,24,4.8,2019
5142,0.7,0.35,2,1,2019
5145,2.598,2.598,2,2,2019
5147,27.87,5.574,12,2.4,2019
5148,112,56,12,6,2019
5150,14.878,4.959333333333333,8,2.6666666666666665,2019
5154,116.657561,23.3315122,14,2.8,2019
5138,1.2,0.6,2,1,2019
5172,271.606609,45.26776816666666,25,4.166666666666667,2019
5197,1.5,1.5,1,1,2019
5206,0.7,0.35,3,1.5,2019
5209,13.15,6.575,2,1,2019
5212,295.987,42.283857142857144,33,4.714285714285714,2019
5234,10,3.3333333333333335,5,1.6666666666666667,2019
5237,1,0.3333333333333333,3,1,2019
5240,0.6,0.6,2,2,2019
5250,85.299712,28.43323733333333,12,4,2019
5697,20.25,10.125,7,3.5,2019
5264,32.005,16.0025,8,4,2019
5266,128.198116,42.732705333333335,18,6,2019
5282,6.9,3.45,6,3,2019
5284,13.9,3.475,5,1.25,2019
5306,16.9,8.45,10,5,2019
5308,213.262567,53.31564175,37,9.25,2019
5310,24.286,24.286,4,4,2019
5313,34.7,34.7,5,5,2019
5315,24.2,12.1,10,5,2019
5318,95.84,23.96,17,4.25,2019
5321,0.35,0.35,2,2,2019
5347,8.2,2.05,5,1.25,2019
5353,5.4,1.35,6,1.5,2019
5360,810.226599,270.075533,34,11.333333333333334,2019
5361,51.8,7.4,12,1.7142857142857142,2019
5368,24.07,8.023333333333333,13,4.333333333333333,2019
5376,7.5,1.5,8,1.6,2019
5380,76.20861,25.40287,11,3.6666666666666665,2019
5390,43.028012,21.514006,43,21.5,2019
5400,63.616125,12.723225,25,5,2019
5411,51.83755,51.83755,3,3,2019
5425,40.10565,20.052825,21,10.5,2019
5440,33.36,5.56,19,3.1666666666666665,2019
5001,2718.76164048,247.16014913454543,227,20.636363636363637,2019
5475,26.15,6.5375,4,1,2019
5480,28.145228,14.072614,3,1.5,2019
5483,5.54,2.77,6,3,2019
5495,27.4,13.7,5,2.5,2019
5490,20.7,6.9,6,2,2019
5543,29,14.5,6,3,2019
5541,21.539511,7.179837,3,1,2019
5576,5.6,2.8,4,2,2019
5579,131.128,21.854666666666667,23,3.8333333333333335,2019
5585,65.987,16.49675,17,4.25,2019
5591,22.3369,7.445633333333333,6,2,2019
5604,19.51,6.503333333333333,9,3,2019
5607,7,2.3333333333333335,4,1.3333333333333333,2019
5615,407.02,81.404,82,16.4,2019
5628,11.4,3.8,5,1.6666666666666667,2019
5631,319.25,159.625,32,16,2019
5642,22.4,5.6,9,2.25,2019
5647,3,3,1,1,2019
5649,84.1,28.03333333333333,11,3.6666666666666665,2019
5652,1,1,1,1,2019
5656,2.8,1.4,3,1.5,2019
5658,21.4,10.7,6,3,2019
5659,59.302348,14.825587,18,4.5,2019
5660,20,20,3,3,2019
5664,6.2,3.1,3,1.5,2019
5665,35.575,11.858333333333334,7,2.3333333333333335,2019
5667,11.85,5.925,6,3,2019
5670,12.6,4.2,4,1.3333333333333333,2019
5679,5,5,1,1,2019
5686,27.9677,5.59354,9,1.8,2019
5690,1,1,1,1,2019
5736,28.01615,14.008075,9,4.5,2019
5756,41.272,13.757333333333333,7,2.3333333333333335,2019
5761,31.619506,7.9048765,20,5,2019
5789,4.75,4.75,2,2,2019
5790,18.588,6.196,18,6,2019
5792,35,35,8,8,2019
5809,0.6,0.6,2,2,2019
5819,9.9,2.475,7,1.75,2019
5837,1056.270926,176.04515433333333,54,9,2019
5842,1,1,1,1,2019
5861,70.993469,35.4967345,23,11.5,2019
5873,56.16,28.08,8,4,2019
5887,0.2,0.1,2,1,2019
5890,25,25,2,2,2019
5893,99.430984,16.571830666666667,44,7.333333333333333,2019
5895,10.5,10.5,4,4,2019
81001,602.667192,86.09531314285715,88,12.571428571428571,2019
81065,234.3435,58.585875,27,6.75,2019
81220,36.3,12.1,8,2.6666666666666665,2019
81300,53.616095,17.87203166666667,19,6.333333333333333,2019
81591,13,6.5,9,4.5,2019
81736,182.127348,60.709116,24,8,2019
81794,35,35,3,3,2019
8078,42.2,8.44,17,3.4,2019
8001,577.319167,144.32979175,47,11.75,2019
8137,2,2,2,2,2019
8141,2.825,0.565,8,1.6,2019
8296,45.85,11.4625,9,2.25,2019
8372,40.545017,13.515005666666665,10,3.3333333333333335,2019
8421,12,12,3,3,2019
8433,491.210989,81.86849816666667,32,5.333333333333333,2019
8436,10.98,10.98,5,5,2019
8520,35,17.5,7,3.5,2019
8549,1.6,0.8,2,1,2019
8558,12.8,6.4,3,1.5,2019
8560,0.1,0.1,1,1,2019
8573,54.2,10.84,12,2.4,2019
8606,17,8.5,3,1.5,2019
8634,16.475,5.491666666666667,4,1.3333333333333333,2019
8638,35,17.5,4,2,2019
8675,44.855017,8.9710034,12,2.4,2019
8685,26.986496,4.497749333333333,17,2.8333333333333335,2019
8758,900.12806,180.025612,28,5.6,2019
8770,1.6,1.6,1,1,2019
8832,51.44,17.14666666666667,12,4,2019
8849,24.7,8.233333333333333,6,2,2019
11001,6242.422755,2080.807585,778,259.3333333333333,2019
13006,96.283,19.2566,16,3.2,2019
13030,111.3524,55.6762,15,7.5,2019
13042,31.098,7.7745,16,4,2019
13052,117.8,39.266666666666666,12,4,2019
13062,2.484348,2.484348,1,1,2019
13074,20.75,10.375,4,2,2019
13140,77.463017,19.36575425,12,3,2019
13160,40.35,10.0875,5,1.25,2019
13001,1048.77512678,149.82501811142856,91,13,2019
13222,16.6,8.3,5,2.5,2019
13212,18,18,1,1,2019
13244,126.535,31.63375,15,3.75,2019
13268,11,5.5,9,4.5,2019
13300,5.1,2.55,2,1,2019
13430,421,210.5,19,9.5,2019
13433,46.68,15.56,12,4,2019
13440,2.3,1.15,3,1.5,2019
13442,135,45,10,3.3333333333333335,2019
13468,4,2,2,1,2019
13458,74.2,18.55,10,2.5,2019
13473,2.75,1.375,2,1,2019
13490,0.5,0.5,1,1,2019
13549,14.5,7.25,5,2.5,2019
13580,8.17,4.085,6,3,2019
13620,1.7,0.85,2,1,2019
13647,55,55,3,3,2019
13650,0.25,0.25,1,1,2019
13654,0.1,0.1,1,1,2019
13655,77.795,38.8975,9,4.5,2019
13657,38.9,19.45,6,3,2019
13667,20,6.666666666666667,3,1,2019
13670,57.4,28.7,10,5,2019
13673,53.6,26.8,11,5.5,2019
13683,32.39,8.0975,8,2,2019
13688,70.5,35.25,11,5.5,2019
13744,22.3,7.433333333333333,6,2,2019
13760,18.968,4.742,8,2,2019
13780,20,20,2,2,2019
13836,108.58,36.193333333333335,19,6.333333333333333,2019
13838,26.15,8.716666666666667,5,1.6666666666666667,2019
13873,38.5,9.625,8,2,2019
13894,64.55,32.275,8,4,2019
15022,0.1,0.1,1,1,2019
15051,10,10,1,1,2019
15087,11.1,11.1,3,3,2019
15092,1,1,1,1,2019
15097,1.95,1.95,1,1,2019
15106,0.3,0.15,2,1,2019
15109,0.2,0.2,1,1,2019
15131,0.2,0.2,1,1,2019
15135,0.4,0.4,1,1,2019
15162,0.5,0.25,2,1,2019
15172,0.4,0.4,1,1,2019
15176,160.7059,40.176475,63,15.75,2019
15185,30.5,15.25,4,2,2019
15187,0.2,0.2,2,2,2019
15236,3,3,1,1,2019
15212,4.5004,2.2502,6,3,2019
15218,0.85,0.85,1,1,2019
15223,35.55,35.55,3,3,2019
15238,21.901096,7.300365333333333,8,2.6666666666666665,2019
15244,0.15,0.15,1,1,2019
15272,0.8,0.8,2,2,2019
15296,1.5,1.5,2,2,2019
15325,9,4.5,4,2,2019
15332,0.9,0.9,1,1,2019
15362,0.5,0.5,2,2,2019
15380,1.3,0.65,2,1,2019
15403,0.2,0.2,1,1,2019
15401,0.1,0.1,1,1,2019
15425,80,80,2,2,2019
15455,14.6,7.3,7,3.5,2019
15466,12,12,2,2,2019
15469,9,9,1,1,2019
15476,0.6069,0.6069,1,1,2019
15480,0.5,0.5,1,1,2019
15491,25.778,12.889,11,5.5,2019
15500,1.689698,0.844849,2,1,2019
15507,0.6,0.6,1,1,2019
15511,0.4,0.4,1,1,2019
15514,0.2,0.2,1,1,2019
15516,83.5,41.75,22,11,2019
15542,5,5,1,1,2019
15550,45.09614,15.032046666666666,16,5.333333333333333,2019
15572,225.384712,56.346178,24,6,2019
15580,0.6,0.6,1,1,2019
15600,1,1,1,1,2019
15621,10,10,1,1,2019
15664,1.5,1.5,1,1,2019
15693,4.35,2.175,2,1,2019
15696,0.15,0.15,1,1,2019
15686,12,12,2,2,2019
15723,1,1,1,1,2019
15740,10,10,1,1,2019
15755,0.5,0.25,2,1,2019
15759,138.628958,27.7257916,19,3.8,2019
15762,0.35,0.35,1,1,2019
15764,0.45,0.45,1,1,2019
15774,2,2,1,1,2019
15776,33.15,33.15,18,18,2019
15778,30.02,30.02,2,2,2019
15798,0.2,0.2,2,2,2019
15816,22.3,11.15,13,6.5,2019
15820,0.2,0.2,1,1,2019
15822,0.5,0.5,1,1,2019
15001,481.941997,80.32366616666667,153,25.5,2019
15839,3,3,1,1,2019
15842,0.9,0.9,1,1,2019
15861,16.878,5.626,5,1.6666666666666667,2019
15407,101.343558,25.3358895,27,6.75,2019
17013,11.8,3.9333333333333336,3,1,2019
17042,15.6,7.8,5,2.5,2019
17050,18,9,5,2.5,2019
17088,12.98,6.49,4,2,2019
17174,151.67048,30.334096,33,6.6,2019
17272,10.9,3.6333333333333333,4,1.3333333333333333,2019
17380,481.7018,80.28363333333333,29,4.833333333333333,2019
17388,2.1,0.7,3,1,2019
17001,627.267812,156.816953,32,8,2019
17433,13.7,13.7,4,4,2019
17442,0.45,0.15,3,1,2019
17444,32.2,10.733333333333334,8,2.6666666666666665,2019
17446,0.7,0.7,2,2,2019
17486,0.1,0.1,1,1,2019
17495,27.595997,13.7979985,10,5,2019
17513,21,21,3,3,2019
17524,20.66,5.165,7,1.75,2019
17541,49,49,5,5,2019
17614,46.5,23.25,8,4,2019
17653,2.4,1.2,3,1.5,2019
17662,34,17,14,7,2019
17777,7.5,2.5,3,1,2019
17867,25.6,8.533333333333333,5,1.6666666666666667,2019
17873,3.35,0.67,6,1.2,2019
17877,1.25,1.25,1,1,2019
18029,13.1124,6.5562,4,2,2019
18094,30.7,15.35,6,3,2019
18150,96.45,32.15,12,4,2019
18205,20.6,5.15,16,4,2019
18247,12.018,6.009,7,3.5,2019
18256,5.8,5.8,2,2,2019
18001,203.506088,50.876522,27,6.75,2019
18410,0.5,0.5,1,1,2019
18460,16,16,2,2,2019
18592,8.5,2.8333333333333335,4,1.3333333333333333,2019
18610,7.1,3.55,3,1.5,2019
18753,67.84986,16.962465,14,3.5,2019
18756,29.9823,9.9941,7,2.3333333333333335,2019
18785,13.357,6.6785,4,2,2019
18860,16.3,4.075,11,2.75,2019
85010,15.8967,5.2989,7,2.3333333333333335,2019
85015,24,24,3,3,2019
85125,121.915,20.319166666666668,124,20.666666666666668,2019
85136,6.5,6.5,3,3,2019
85139,85.88223,28.62741,18,6,2019
85162,42.758656,7.126442666666667,27,4.5,2019
85225,67.45,16.8625,16,4,2019
85230,2,2,2,2,2019
85250,46.864,23.432,69,34.5,2019
85263,14.2,4.733333333333333,5,1.6666666666666667,2019
85279,25.85,12.925,7,3.5,2019
85300,7.93,3.965,2,1,2019
85315,38.4,19.2,11,5.5,2019
85325,40.6,40.6,5,5,2019
85400,32.15,32.15,13,13,2019
85410,103.75,25.9375,20,5,2019
85430,27.7,9.233333333333334,5,1.6666666666666667,2019
85440,22,11,7,3.5,2019
85001,392.87834782,78.575669564,49,9.8,2019
19022,14,4.666666666666667,5,1.6666666666666667,2019
19050,83.1,41.55,14,7,2019
19075,13.5,13.5,4,4,2019
19100,20.1,6.7,5,1.6666666666666667,2019
19130,21.2,10.6,7,3.5,2019
19137,24.04975,12.024875,10,5,2019
19142,115.82015,23.16403,18,3.6,2019
19212,17.0613,5.6871,6,2,2019
19256,6,2,4,1.3333333333333333,2019
19290,33,33,5,5,2019
19300,31.65,15.825,5,2.5,2019
19318,9.7,3.2333333333333334,5,1.6666666666666667,2019
19355,56.5,18.833333333333332,11,3.6666666666666665,2019
19392,53.5,13.375,12,3,2019
19397,6.5,6.5,3,3,2019
19450,18.093,9.0465,4,2,2019
19455,43.5,43.5,12,12,2019
19473,15.509,5.169666666666667,6,2,2019
19513,8,2.6666666666666665,3,1,2019
19517,0.3,0.15,2,1,2019
19532,38.98,9.745,14,3.5,2019
19533,43.716353,21.8581765,15,7.5,2019
19548,125.8,25.16,19,3.8,2019
19001,403.031649,80.6063298,40,8,2019
19573,48.5899,9.71798,16,3.2,2019
19585,15.98,5.326666666666667,4,1.3333333333333333,2019
19622,5,2.5,4,2,2019
19693,2.09,1.045,2,1,2019
19701,2.22,2.22,1,1,2019
19698,95.307,31.769,10,3.3333333333333335,2019
19743,131.739095,26.347819,30,6,2019
19780,4.825,1.6083333333333332,3,1,2019
19785,8.284348,4.142174,4,2,2019
19807,31.5,5.25,13,2.1666666666666665,2019
19809,47.2,11.8,10,2.5,2019
19821,27,9,7,2.3333333333333335,2019
19824,15,15,2,2,2019
19845,66.4,33.2,3,1.5,2019
20011,312.04,62.408,24,4.8,2019
20013,60.080919,15.02022975,18,4.5,2019
20032,5,5,1,1,2019
20045,103.831177,25.95779425,19,4.75,2019
20060,110.7,27.675,14,3.5,2019
20175,21.4,10.7,7,3.5,2019
20178,55.880017,27.9400085,8,4,2019
20228,75.53,25.17666666666667,12,4,2019
20238,15.45,7.725,5,2.5,2019
20250,16.2,3.24,6,1.2,2019
20383,108.73825,21.74765,13,2.6,2019
20400,120.15,60.075,13,6.5,2019
20621,43.65,43.65,9,9,2019
20443,20,10,3,1.5,2019
20550,25.35,8.45,7,2.3333333333333335,2019
20570,33.05,16.525,5,2.5,2019
20710,0.1,0.1,1,1,2019
20750,61.7645,20.58816666666667,12,4,2019
20770,5.8,5.8,1,1,2019
20787,7.3609,7.3609,3,3,2019
20001,631.584841,126.3169682,20,4,2019
27006,67.125,22.375,6,2,2019
27025,11.2,5.6,2,1,2019
27050,75.25,37.625,5,2.5,2019
27073,78.3,26.1,12,4,2019
27075,74.2,37.1,10,5,2019
27077,5,2.5,3,1.5,2019
27099,41.5,41.5,5,5,2019
27150,84.512,21.128,12,3,2019
27160,27,13.5,3,1.5,2019
27205,113.5,37.833333333333336,13,4.333333333333333,2019
27135,6,6,1,1,2019
27150,67.01,11.168333333333335,22,3.6666666666666665,2019
27250,8.75,8.75,1,1,2019
27372,28.47,28.47,4,4,2019
27413,73.073836,36.536918,9,4.5,2019
27425,1,1,2,2,2019
27430,12.7,6.35,2,1,2019
27450,97.152,24.288,9,2.25,2019
27491,58,29,7,3.5,2019
27495,25.401591,12.7007955,3,1.5,2019
27001,144,36,10,2.5,2019
27600,10.8,3.6,3,1,2019
27615,7.5,2.5,3,1,2019
27660,0.4,0.2,2,1,2019
27745,70.3,23.433333333333334,8,2.6666666666666665,2019
27787,0.5,0.5,1,1,2019
27800,113.048,56.524,18,9,2019
27810,80.640436,40.320218,5,2.5,2019
23068,17.4,5.8,5,1.6666666666666667,2019
23079,6.5,6.5,2,2,2019
23090,1,1,1,1,2019
23162,35,35,1,1,2019
23168,1.2,0.6,2,1,2019
23182,11,11,2,2,2019
23189,0.1,0.1,1,1,2019
23300,25.2,12.6,5,2.5,2019
23350,1.5,1.5,1,1,2019
23417,135.185,67.5925,12,6,2019
23419,0.5,0.5,1,1,2019
23464,11.55,2.8875,5,1.25,2019
23466,160.45795,40.1144875,32,8,2019
23001,757.6,378.8,23,11.5,2019
23500,0,0,1,1,2019
23555,96.958,32.31933333333333,63,21,2019
23570,0.3,0.3,1,1,2019
23574,25.4,8.466666666666667,4,1.3333333333333333,2019
23580,74.64,24.88,9,3,2019
23586,10,10,2,2,2019
23660,202.5282,33.7547,23,3.8333333333333335,2019
23670,111.55,27.8875,18,4.5,2019
23672,0.2,0.2,1,1,2019
23675,60.9,15.225,11,2.75,2019
23678,10.55,5.275,5,2.5,2019
23686,62.458841,15.61471025,19,4.75,2019
23807,181.934706,90.967353,4,2,2019
23815,47.75,11.9375,9,2.25,2019
23855,111.3,37.1,14,4.666666666666667,2019
25001,24,24,4,4,2019
25019,0.3,0.3,1,1,2019
25035,5.28,1.76,5,1.6666666666666667,2019
25040,4.8,2.4,5,2.5,2019
25053,59.2666,14.81665,25,6.25,2019
25086,0.075,0.075,1,1,2019
25099,17.875,17.875,14,14,2019
25120,0.1,0.1,1,1,2019
25123,5.95,5.95,1,1,2019
25126,42.099184,10.524796,7,1.75,2019
25148,38.835,19.4175,10,5,2019
25151,5.7,2.85,4,2,2019
25168,6.76,1.69,8,2,2019
25175,310.95567,44.42223857142857,51,7.285714285714286,2019
25178,12.5,6.25,3,1.5,2019
25181,19.5,19.5,5,5,2019
25183,12.2,12.2,2,2,2019
25200,9.78,3.26,5,1.6666666666666667,2019
25214,296.599,98.86633333333333,31,10.333333333333334,2019
25224,9.017746,9.017746,3,3,2019
25245,13.504952,4.501650666666667,8,2.6666666666666665,2019
25258,1.2,1.2,1,1,2019
25260,10,10,1,1,2019
25269,60.28932,10.04822,30,5,2019
25279,30.3,10.1,5,1.6666666666666667,2019
25286,131.776,65.888,12,6,2019
25288,7.5,3.75,5,2.5,2019
25290,589.162679,84.166097,52,7.428571428571429,2019
25293,0.5,0.5,1,1,2019
25295,2,1,3,1.5,2019
25297,0.15,0.15,1,1,2019
25307,580.1955,96.69925,78,13,2019
25312,3.7,1.85,5,2.5,2019
25317,20,20,4,4,2019
25320,65.028,16.257,16,4,2019
25322,8.7,4.35,3,1.5,2019
25324,14.9,7.45,6,3,2019
25328,5,5,1,1,2019
25339,4.6218,4.6218,4,4,2019
25368,0.1,0.1,1,1,2019
25372,23,23,2,2,2019
25377,88.7366,22.18415,31,7.75,2019
25386,12.08,3.02,6,1.5,2019
25394,8.35035,2.78345,3,1,2019
25402,40.2,13.4,5,1.6666666666666667,2019
25407,2.5,2.5,2,2,2019
25426,0.5,0.5,1,1,2019
25430,163.702967,32.7405934,19,3.8,2019
25436,25.725,25.725,3,3,2019
25473,31.5,10.5,3,1,2019
25483,1.57,1.57,1,1,2019
25486,14.8,7.4,4,2,2019
25488,35.305,17.6525,17,8.5,2019
25489,9,9,2,2,2019
25491,13.824,13.824,1,1,2019
25513,48.55,6.935714285714285,18,2.5714285714285716,2019
25518,0.5,0.5,1,1,2019
25524,6.16,3.08,6,3,2019
25530,19.157,9.5785,10,5,2019
25535,28.378542,28.378542,12,12,2019
25580,7,7,3,3,2019
25592,5,5,1,1,2019
25594,0.25,0.25,1,1,2019
25596,0.5,0.5,1,1,2019
25612,2.68,2.68,3,3,2019
25649,9,9,3,3,2019
25653,6.6,6.6,2,2,2019
25658,16.758696,5.586232,11,3.6666666666666665,2019
25662,11.2,11.2,2,2,2019
25736,21.061,7.020333333333333,25,8.333333333333334,2019
25740,118.505,39.501666666666665,26,8.666666666666666,2019
25754,416.463838,138.82127933333334,19,6.333333333333333,2019
25758,48.1,12.025,10,2.5,2019
25769,5.209224,5.209224,5,5,2019
25772,0.2,0.2,1,1,2019
25779,11,5.5,4,2,2019
25785,19.268,3.8536,23,4.6,2019
25793,0.2,0.2,1,1,2019
25797,4.65,4.65,1,1,2019
25799,69.68,23.226666666666667,17,5.666666666666667,2019
25805,0.1,0.1,1,1,2019
25815,7.3,3.65,4,2,2019
25817,236.295014,47.2590028,33,6.6,2019
25823,36.162,18.081,5,2.5,2019
25839,42,42,7,7,2019
25841,17,17,5,5,2019
25843,31.216,6.2432,15,3,2019
25851,12.35,6.175,3,1.5,2019
25506,0.343,0.1715,2,1,2019
25867,44.279152,14.759717333333334,34,11.333333333333334,2019
25871,12.98,4.326666666666667,8,2.6666666666666665,2019
25873,5.95,2.975,4,2,2019
25875,31,15.5,5,2.5,2019
25878,12.195,12.195,5,5,2019
25885,25,25,2,2,2019
25898,19.269067,9.6345335,7,3.5,2019
25899,177.957848,35.5915696,64,12.8,2019
94001,94.7292,23.6823,41,10.25,2019
95015,58.658047,29.3290235,13,6.5,2019
95025,94.39,47.195,15,7.5,2019
95200,1,1,1,1,2019
95001,50.45,12.6125,11,2.75,2019
41006,3.2,1.6,2,1,2019
41013,27.77265,27.77265,3,3,2019
41016,40,40,16,16,2019
41020,0.4,0.4,1,1,2019
41026,4.4,1.4666666666666668,3,1,2019
41078,0.3,0.15,2,1,2019
41132,15.4,3.85,4,1,2019
41298,98.8653,32.9551,5,1.6666666666666667,2019
41306,92.247886,23.0619715,11,2.75,2019
41319,30.3,10.1,6,2,2019
41349,5.7,5.7,1,1,2019
41357,4.75,1.5833333333333333,3,1,2019
41359,43.35,10.8375,10,2.5,2019
41378,20.222,10.111,5,2.5,2019
41396,1.6,0.4,5,1.25,2019
41483,17.5,5.833333333333333,6,2,2019
41001,404.03747,57.719638571428575,20,2.857142857142857,2019
41503,11.5,11.5,2,2,2019
41518,1.7,0.85,6,3,2019
41524,49.9368,24.9684,4,2,2019
41530,1.4,0.4666666666666667,3,1,2019
41548,2.7886,1.3943,4,2,2019
41551,34.33136,11.443786666666666,14,4.666666666666667,2019
41615,0.25,0.25,1,1,2019
41660,14.2,7.1,3,1.5,2019
41668,1.81,0.6033333333333334,3,1,2019
41676,16.945,8.4725,4,2,2019
41770,25.573,8.524333333333335,8,2.6666666666666665,2019
41791,6.3,3.15,6,3,2019
41797,12.75,6.375,5,2.5,2019
41807,0.15,0.15,1,1,2019
41872,5.65,5.65,5,5,2019
41885,1.575,0.7875,2,1,2019
44035,62.4,15.6,7,1.75,2019
44078,43,10.75,9,2.25,2019
44090,56.3,11.26,10,2,2019
44098,38,19,5,2.5,2019
44110,1,1,1,1,2019
44279,172.15,43.0375,17,4.25,2019
44378,59,29.5,12,6,2019
44420,27.3,27.3,4,4,2019
44430,392.8012,78.56024,21,4.2,2019
44560,199.91,66.63666666666667,17,5.666666666666667,2019
44001,371.4485,46.4310625,37,4.625,2019
44650,71.45,35.725,2,1,2019
44847,589.683332,196.56111066666665,45,15,2019
44855,31,31,5,5,2019
44874,123.58,41.193333333333335,9,3,2019
47030,11,5.5,2,1,2019
