,,amount,amount,no_of_donors,no_of_donors
,,sum,mean,sum,mean
dpto,mpio,,,,
AMAZONAS,LETICIA,108970000.0,21794000.0,9,1.8
ANTIOQUIA,ABEJORRAL,70606550.0,14121310.0,28,5.6
ANTIOQUIA,ABRIAQUI,5000000.0,5000000.0,1,1.0
ANTIOQUIA,AMAGA,30955879.0,10318626.333333334,6,2.0
ANTIOQUIA,AMALFI,26250000.0,13125000.0,7,3.5
ANTIOQUIA,ANDES,156794425.0,52264808.333333336,28,9.333333333333334
ANTIOQUIA,ANGELOPOLIS,1500000.0,1500000.0,1,1.0
ANTIOQUIA,ANORI,59005420.0,14751355.0,12,3.0
ANTIOQUIA,ANTIOQUIA,161299476.0,32259895.2,24,4.8
ANTIOQUIA,ANZA,16200000.0,16200000.0,2,2.0
ANTIOQUIA,APARTADO,723049721.0,241016573.66666666,45,15.0
ANTIOQUIA,ARBOLETES,90560000.0,45280000.0,15,7.5
ANTIOQUIA,ARGELIA,34129000.0,17064500.0,17,8.5
ANTIOQUIA,ARMENIA,16182400.0,5394133.333333333,4,1.3333333333333333
ANTIOQUIA,BARBOSA,87524981.0,29174993.666666668,20,6.666666666666667
ANTIOQUIA,BELLO,547859464.0,91309910.66666667,30,5.0
ANTIOQUIA,BETANIA,16600000.0,5533333.333333333,5,1.6666666666666667
ANTIOQUIA,BETULIA,52000000.0,17333333.333333332,11,3.6666666666666665
ANTIOQUIA,BOLIVAR,2200000.0,733333.3333333334,5,1.6666666666666667
ANTIOQUIA,BRICEÑO,11800000.0,11800000.0,6,6.0
ANTIOQUIA,BURITICA,42000000.0,42000000.0,5,5.0
ANTIOQUIA,CACERES,4100000.0,2050000.0,2,1.0
ANTIOQUIA,CAICEDO,100000.0,100000.0,1,1.0
ANTIOQUIA,CALDAS,116668696.0,23333739.2,24,4.8
ANTIOQUIA,CARACOLI,700000.0,350000.0,2,1.0
ANTIOQUIA,CARAMANTA,2598000.0,2598000.0,2,2.0
ANTIOQUIA,CAREPA,27870000.0,5574000.0,12,2.4
ANTIOQUIA,CARMEN DE VIBORAL,112000000.0,56000000.0,12,6.0
ANTIOQUIA,CAROLINA,14878000.0,4959333.333333333,8,2.6666666666666665
ANTIOQUIA,CAUCASIA,116657561.0,23331512.2,14,2.8
ANTIOQUIA,CAÑASGORDAS,1200000.0,600000.0,2,1.0
ANTIOQUIA,CHIGORODO,271606609.0,45267768.166666664,25,4.166666666666667
ANTIOQUIA,COCORNA,1500000.0,1500000.0,1,1.0
ANTIOQUIA,CONCEPCION,700000.0,350000.0,3,1.5
ANTIOQUIA,CONCORDIA,13150000.0,6575000.0,2,1.0
ANTIOQUIA,COPACABANA,295987000.0,42283857.14285714,33,4.714285714285714
ANTIOQUIA,DABEIBA,10000000.0,3333333.3333333335,5,1.6666666666666667
ANTIOQUIA,DON MATIAS,1000000.0,333333.3333333333,3,1.0
ANTIOQUIA,EBEJICO,600000.0,600000.0,2,2.0
ANTIOQUIA,EL BAGRE,85299712.0,28433237.333333332,12,4.0
ANTIOQUIA,EL SANTUARIO,20250000.0,10125000.0,7,3.5
ANTIOQUIA,ENTRERRIOS,32005000.0,16002500.0,8,4.0
ANTIOQUIA,ENVIGADO,128198116.0,42732705.333333336,18,6.0
ANTIOQUIA,FREDONIA,6900000.0,3450000.0,6,3.0
ANTIOQUIA,FRONTINO,13900000.0,3475000.0,5,1.25
ANTIOQUIA,GIRALDO,16900000.0,8450000.0,10,5.0
ANTIOQUIA,GIRARDOTA,213262567.0,53315641.75,37,9.25
ANTIOQUIA,GOMEZ PLATA,24286000.0,24286000.0,4,4.0
ANTIOQUIA,GRANADA,34700000.0,34700000.0,5,5.0
ANTIOQUIA,GUADALUPE,24200000.0,12100000.0,10,5.0
ANTIOQUIA,GUARNE,95840000.0,23960000.0,17,4.25
ANTIOQUIA,GUATAPE,350000.0,350000.0,2,2.0
ANTIOQUIA,HELICONIA,8200000.0,2050000.0,5,1.25
ANTIOQUIA,HISPANIA,5400000.0,1350000.0,6,1.5
ANTIOQUIA,ITAGUI,810226599.0,270075533.0,34,11.333333333333334
ANTIOQUIA,ITUANGO,51800000.0,7400000.0,12,1.7142857142857142
ANTIOQUIA,JERICO,24070000.0,8023333.333333333,13,4.333333333333333
ANTIOQUIA,LA CEJA,7500000.0,1500000.0,8,1.6
ANTIOQUIA,LA ESTRELLA,76208610.0,25402870.0,11,3.6666666666666665
ANTIOQUIA,LA PINTADA,43028012.0,21514006.0,43,21.5
ANTIOQUIA,LA UNION,63616125.0,12723225.0,25,5.0
ANTIOQUIA,LIBORINA,51837550.0,51837550.0,3,3.0
ANTIOQUIA,MACEO,40105650.0,20052825.0,21,10.5
ANTIOQUIA,MARINILLA,33360000.0,5560000.0,19,3.1666666666666665
ANTIOQUIA,MEDELLIN,2718761640.48,247160149.13454545,227,20.636363636363637
ANTIOQUIA,MURINDO,26150000.0,6537500.0,4,1.0
ANTIOQUIA,MUTATA,28145228.0,14072614.0,3,1.5
ANTIOQUIA,NARIÑO,5540000.0,2770000.0,6,3.0
ANTIOQUIA,NECHI,27400000.0,13700000.0,5,2.5
ANTIOQUIA,NECOCLI,20700000.0,6900000.0,6,2.0
ANTIOQUIA,PEQUE,29000000.0,14500000.0,6,3.0
ANTIOQUIA,PEÑOL,21539511.0,7179837.0,3,1.0
ANTIOQUIA,PUEBLORRICO,5600000.0,2800000.0,4,2.0
ANTIOQUIA,PUERTO BERRIO,131128000.0,21854666.666666668,23,3.8333333333333335
ANTIOQUIA,PUERTO NARE LA MAGDALENA,65987000.0,16496750.0,17,4.25
ANTIOQUIA,PUERTO TRIUNFO,22336900.0,7445633.333333333,6,2.0
ANTIOQUIA,REMEDIOS,19510000.0,6503333.333333333,9,3.0
