corp,dpto,name,party,wp_no
Asamblea,VICHADA,JAIRO  CHIPIAJE GAITAN,PARTIDO COLOMBIA RENACIENTE,3612
Asamblea,VICHADA,JAVIER FERNANDO PEREZ ROJAS,PARTIDO CENTRO DEMOCRATICO,3577
Asamblea,VICHADA,JESUS  CASTILLO GOMEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3654
Asamblea,VICHADA,JORGE  PONARE GONZALEZ,PARTIDO ALIANZA VERDE,3636
Asamblea,VICHADA,JORGE ANIBAL ROJAS SALCEDO,PARTIDO COLOMBIA RENACIENTE,3614
Asamblea,VICHADA,JORGE ELIECER VERANO BUITRAGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3662
Asamblea,VICHADA,JORGE JELVEZ LOPEZ VILLAMIZAR,PARTIDO LIBERAL COLOMBIANO,3563
Asamblea,VICHADA,JORGE JULIAN SILVA MECHE,PARTIDO LIBERAL COLOMBIANO,3561
Asamblea,VICHADA,JOSE ALI MENDEZ RUEDA,PARTIDO CONSERVADOR COLOMBIANO,3616
Asamblea,VICHADA,JOSE DUVAN MESA JIMENEZ,PARTIDO LIBERAL COLOMBIANO,3560
Asamblea,VICHADA,JOSE FRANCISCO SALCEDO GONZALEZ,PARTIDO CAMBIO RADICAL,3631
Asamblea,VICHADA,JOSE ORLANDO SANCLEMENTE VILLAFAÑE,PARTIDO CONSERVADOR COLOMBIANO,3615
Asamblea,VICHADA,JOSE OSCAR DIAZ MONTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3665
Asamblea,VICHADA,JOSE URIAS HERNANDEZ GUANACASISI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3586
Asamblea,VICHADA,JOSE WILFREDO BENITEZ BUILES,PARTIDO CENTRO DEMOCRATICO,3572
Asamblea,VICHADA,JOSUE DAVID GUARIN VALBUENA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3668
Asamblea,VICHADA,JUAN BAUTISTA FLOREZ FLOREZ,PARTIDO COLOMBIA JUSTA LIBRES,3595
Asamblea,VICHADA,JULIAN  ARBOLEDA HURTADO,PARTIDO CENTRO DEMOCRATICO,3573
