corp,dpto,name,party,wp_no
Asamblea,LA GUAJIRA,ADRIANA LUCIA POLO LOBO,PARTIDO COLOMBIA JUSTA LIBRES,2491
Asamblea,LA GUAJIRA,ALBERTO CARLOS DURAN ARIZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2518
Asamblea,LA GUAJIRA,AMPARO YOLETY MOLINA IGUARAN,PARTIDO COLOMBIA JUSTA LIBRES,2489
Asamblea,LA GUAJIRA,ARIEL DE JESUS LOPEZ MORON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2477
Asamblea,LA GUAJIRA,ARISTIDES  LOPERENA MINDIOLA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2475
Asamblea,LA GUAJIRA,ARMANDO ARMANDO DAZA SALOME,PARTIDO COLOMBIA JUSTA LIBRES,2488
Asamblea,LA GUAJIRA,ARMANDO DE JESUS PULIDO FAJARDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2523
Asamblea,LA GUAJIRA,BILL DE JESUS RODRIGUEZ ARZUAGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2519
Asamblea,LA GUAJIRA,CARLOS ANDRES DAZA PALOMINO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2522
Asamblea,LA GUAJIRA,CARMEN ALICIA SANCHEZ FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2480
Asamblea,LA GUAJIRA,CELSO DE JESUS CHINCHIA FERNANDEZ,SOMOS GUAJIRA MOVIMIENTO CIUDADANO,2538
Asamblea,LA GUAJIRA,DANIEL ELIAS CEBALLOS BRITO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2512
Asamblea,LA GUAJIRA,DARWIN CARLOS BRITO RODRIGUEZ,PARTIDO COLOMBIA JUSTA LIBRES,2486
Asamblea,LA GUAJIRA,DAYRIS DAILETH DELUQUE CASTILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2521
Asamblea,LA GUAJIRA,DENNYS MARIA ACOSTA PIMIENTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2511
Asamblea,LA GUAJIRA,EIDER ENRIQUE CUELLO ESCANDON,PARTIDO CONSERVADOR COLOMBIANO,2502
Asamblea,LA GUAJIRA,EIMER ALBERTO RODRIGUEZ MENDOZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2513
Asamblea,LA GUAJIRA,ELTON  SALAS CUADRADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2517
Asamblea,LA GUAJIRA,ENRIQUE LUIS LOPEZ DANGOND,PARTIDO POLO DEMOCRATICO ALTERNATIVO,2525
Asamblea,LA GUAJIRA,ERIBERTO ANTONIO IBARRA CAMPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2476
Asamblea,LA GUAJIRA,FABRIANI MARIA MEDINA GALVAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2506
Asamblea,LA GUAJIRA,GABRIEL RAFAEL SALAS CAMARGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2510
