corp,dpto,name,party,wp_no
Asamblea,BOYACA,GREGORIO  MORALES TOVAR,BOYACA DECENTE,3552
Asamblea,BOYACA,GUSTAVO EDUARDO CASTAÑEDA NIÑO,PARTIDO ALIANZA VERDE,3504
Asamblea,BOYACA,HECTOR JOSUE CAMACHO ACOSTA,PARTIDO CENTRO DEMOCRATICO,3441
Asamblea,BOYACA,HELVER ARIEL AVILA PANCHE,PARTIDO CENTRO DEMOCRATICO,3445
Asamblea,BOYACA,HENRY  GOYENECHE HORMAZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3523
Asamblea,BOYACA,HERNANDO  ARIAS OCHOA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3517
Asamblea,BOYACA,HUGO ALVEIRO ROSAS ROMERO,PARTIDO ALIANZA VERDE,3507
Asamblea,BOYACA,INGRID MARLEN SOGAMOSO ALFONSO,PARTIDO CENTRO DEMOCRATICO,3435
Asamblea,BOYACA,IRMA YINETH VELANDIA SANDOVAL,PARTIDO CAMBIO RADICAL,3495
Asamblea,BOYACA,IVAN RICARDO PIRACHICAN BERNAL,PARTIDO CONSERVADOR COLOMBIANO,3472
Asamblea,BOYACA,JAIME ANDRES GOMEZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,3482
Asamblea,BOYACA,JAIRO  CORREA ACEVEDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3454
Asamblea,BOYACA,JAIRO  PACHECO SUAREZ,PARTIDO LIBERAL COLOMBIANO,3418
Asamblea,BOYACA,JAIRO ENRIQUE CABANA FONSECA,PARTIDO ALIANZA VERDE,3514
Asamblea,BOYACA,JHON ALEXANDER GARAY ,PARTIDO COLOMBIA JUSTA LIBRES,3468
Asamblea,BOYACA,JHON FREDY GARAVITO CORTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3533
Asamblea,BOYACA,JHONNATAN JAIRO AVELLANEDA MESA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3462
Asamblea,BOYACA,JOHAN FRANCISCO HERRERA GUALDRON,PARTIDO ALIANZA VERDE,3502
Asamblea,BOYACA,JOHN FREDY LOPEZ MORA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3465
Asamblea,BOYACA,JORGE EDUARDO DIAZ AVENDAÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3457
Asamblea,BOYACA,JORGE ENRIQUE CAMACHO RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3525
Asamblea,BOYACA,JORGE IGNACIO LOPEZ BARRERA,BOYACA DECENTE,3554
Asamblea,BOYACA,JORGE MARIN JEREZ AMADO,PARTIDO LIBERAL COLOMBIANO,3426
Asamblea,BOYACA,JOSE AGUSTIN ARIAS MILLAN,PARTIDO CENTRO DEMOCRATICO,3446
Asamblea,BOYACA,JOSE ANTONIO ESTUPIÑAN CACERES,PARTIDO CONSERVADOR COLOMBIANO,3477
Asamblea,BOYACA,JOSE ARMANDO QUIÑONES GARZON,PARTIDO CENTRO DEMOCRATICO,3434
Asamblea,BOYACA,JOSE DARIO MAHECHA CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,3473
Asamblea,BOYACA,JOSE JOAQUIN WILCHES PRIETO,PARTIDO COLOMBIA JUSTA LIBRES,3469
Asamblea,BOYACA,JOSE LEONIDAS MEDINA CRUZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3542
Asamblea,BOYACA,JOSE MAURICIO BUITRAGO RIVERA,PARTIDO CAMBIO RADICAL,3494
Asamblea,BOYACA,JOSE WILMAR LEAL ABRIL,PARTIDO CAMBIO RADICAL,3500
Asamblea,BOYACA,JUAN CAMILO MORALES RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,3421
Asamblea,BOYACA,JUDDY ALEXANDRA JIMENEZ CUADROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3541
Asamblea,BOYACA,JULIAN GUILLERMO CAMARGO AMORTEGUI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3456
Asamblea,BOYACA,JULIETH ROCIO MONTAÑEZ NIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3527
Asamblea,BOYACA,KATHERIN TATIANA CALDERON ACOSTA,PARTIDO CENTRO DEMOCRATICO,3447
Asamblea,BOYACA,KILIAM ERNESTO GONZALEZ FORERO,BOYACA DECENTE,3551
Asamblea,BOYACA,LAURA PATRICIA CONTRERAS ALVAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3526
Asamblea,BOYACA,LIZETH PAOLA SAADE FUENTES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3455
Asamblea,BOYACA,LUIS CARLOS BERNAL MESA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3540
Asamblea,BOYACA,LUIS CARLOS MACHADO ZAPATA,PARTIDO LIBERAL COLOMBIANO,3420
Asamblea,BOYACA,LUIS CARLOS OCHOA PASACHOA,PARTIDO ALIANZA VERDE,3509
Asamblea,BOYACA,LUISA FERNANDA RODRIGUEZ ALFONSO,PARTIDO ALIANZA VERDE,3515
Asamblea,BOYACA,LUZ DARY SEVILLANO GUERRERO,PARTIDO ALIANZA VERDE,3508
Asamblea,BOYACA,MAIRA ADRIANA ZERDA GONZALEZ,PARTIDO ALIANZA VERDE,3512
Asamblea,BOYACA,MANUEL RICARDO MESA TRUJILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3545
Asamblea,BOYACA,MARIA DE LOS SANTOS SALAMANCA SILVA,PARTIDO ALIANZA VERDE,3513
Asamblea,BOYACA,MARIA FRANCIA BLANCO PEDROZA,BOYACA DECENTE,3553
Asamblea,BOYACA,MARIEV  BEJARANO OSPINA,BOYACA DECENTE,3548
Asamblea,BOYACA,MARTHA INES ZIPA MARTINEZ,PARTIDO CAMBIO RADICAL,3498
Asamblea,BOYACA,MAURICIO  CADENA VALERO,PARTIDO CENTRO DEMOCRATICO,3442
Asamblea,BOYACA,MERARDO  VARGAS ROA,PARTIDO ALIANZA VERDE,3506
