corp,dpto,name,party,wp_no
Asamblea,CAQUETA,LUIS CARLOS RODRIGUEZ ORTEGA,PARTIDO CENTRO DEMOCRATICO,2295
Asamblea,CAQUETA,LUIS EDUARDO CABRERA RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,2302
Asamblea,CAQUETA,LUZ MILA CICERI ORTIZ,PARTIDO LIBERAL COLOMBIANO,2288
Asamblea,CAQUETA,MARIA ANGELICA LOSADA VELEZ,PARTIDO ALIANZA VERDE,2332
Asamblea,CAQUETA,MARIA YINETH PEREZ LOPEZ,PARTIDO CENTRO DEMOCRATICO,2299
Asamblea,CAQUETA,MARICELA  MARIN PELAEZ,PARTIDO CAMBIO RADICAL,2318
Asamblea,CAQUETA,MAURICIO  RUIZ CICERI,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2362
Asamblea,CAQUETA,MERCEDES  MOTTA CUELLAR,PARTIDO CONSERVADOR COLOMBIANO,2312
Asamblea,CAQUETA,MERCEDES  MUÑOZ DUQUE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2356
Asamblea,CAQUETA,MERLY  SARRIA PEÑA,PARTIDO LIBERAL COLOMBIANO,2285
Asamblea,CAQUETA,MONICA ANDREA YARA ARTUNDUAGA,PARTIDO CENTRO DEMOCRATICO,2300
Asamblea,CAQUETA,NELSON ARMANDO GONZALEZ RIOS,PARTIDO ALIANZA VERDE,2329
Asamblea,CAQUETA,NOHELIA  HINCAPIE SILVA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2341
Asamblea,CAQUETA,OSCAR FERNANDO ESGUERRA GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,2314
Asamblea,CAQUETA,RAFAEL ANTONIO SARMIENTO MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,2311
Asamblea,CAQUETA,REINALDO  CASTRILLON PULECIO,PARTIDO ALIANZA VERDE,2336
Asamblea,CAQUETA,RICHARD  GUTIERREZ CRUZ,PARTIDO CAMBIO RADICAL,2317
Asamblea,CAQUETA,RODRIGO  CANDELO VIAFARA,PARTIDO CAMBIO RADICAL,2323
Asamblea,CAQUETA,RUBY  ROMERO BAHENA,COALICION ALTERNATIVA,2369
Asamblea,CAQUETA,SALVADOR  ORJUELA GOMEZ,PARTIDO CAMBIO RADICAL,2324
Asamblea,CAQUETA,SANDRA MILENA MANCERA GUTIERREZ,PARTIDO COLOMBIA JUSTA LIBRES,2307
Asamblea,CAQUETA,SERGIO  GIRALDO HEREDIA,PARTIDO CONSERVADOR COLOMBIANO,2310
Asamblea,CAQUETA,VICTOR ALFONSO VARON ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2357
Asamblea,CAQUETA,WALTER  OLAYA RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2344
Asamblea,CAQUETA,WILDER JOAN LOPEZ MARQUEZ,PARTIDO CENTRO DEMOCRATICO,2293
Asamblea,CAQUETA,WILLIAM  SANCHEZ AMAYA,PARTIDO CONSERVADOR COLOMBIANO,2308
Asamblea,CAQUETA,YENY ADALID CHILATRA RIVERA,PARTIDO ALIANZA VERDE,2331
Asamblea,CAQUETA,YOVANI ALFONSO MARTINEZ NIETO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2355
