corp,dpto,name,party,wp_no
Asamblea,CASANARE,JUAN  PEDRAZA LOZANO,COALICION CASANARE,2455
Asamblea,CASANARE,JUAN BAUTISTA VARGAS SILVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2452
Asamblea,CASANARE,JUAN DE LA ROSA GRIMALDOS BARAJAS,PARTIDO ALIANZA VERDE,2427
Asamblea,CASANARE,JUAN PABLO RIAÑO PRIETO,PARTIDO ALIANZA VERDE,2431
Asamblea,CASANARE,JUAN VICENTE NIEVES GONZALEZ,COALICION CASANARE,2463
Asamblea,CASANARE,JUDID  NIÑO MEJIA,COALICION CASANARE,2457
Asamblea,CASANARE,JUDITH  LOPEZ BARRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2444
Asamblea,CASANARE,LADY PATRICIA BOHORQUEZ CUEVAS,PARTIDO LIBERAL COLOMBIANO,2376
Asamblea,CASANARE,LEONEL  BOHORQUEZ BOHORQUEZ,PARTIDO CONSERVADOR COLOMBIANO,2413
Asamblea,CASANARE,LUDY TATIANA PIRABAN GUTIERREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2446
Asamblea,CASANARE,LUIS ALEJANDRO LOPEZ RIOS,COALICION CASANARE,2462
Asamblea,CASANARE,LUIS HERNANDO OTALORA MADRID,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2447
Asamblea,CASANARE,LUIS MAURICIO CHIQUILLO PEREZ,PARTIDO CONSERVADOR COLOMBIANO,2403
Asamblea,CASANARE,LUIS OSCAR BEDOYA VEGA,PARTIDO ADA,2396
Asamblea,CASANARE,LUISA FERNANDA PORRAS VERGEL,PARTIDO LIBERAL COLOMBIANO,2377
Asamblea,CASANARE,LUZ ANGELICA GARCIA GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2445
Asamblea,CASANARE,MANUEL ENRIQUE ALBARRACIN ,PARTIDO LIBERAL COLOMBIANO,2380
Asamblea,CASANARE,MARIA ALEJANDRA LOPEZ MALDONADO,PARTIDO ADA,2401
Asamblea,CASANARE,MARIA ENILSE NOY ESPINOSA,PARTIDO COLOMBIA JUSTA LIBRES,2392
Asamblea,CASANARE,MARIA FERNANDA BETANCOURT MARTHA,PARTIDO ADA,2399
Asamblea,CASANARE,MARIA SIRLEY CARDOZO AGUIRRE,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,2467
Asamblea,CASANARE,MARITZA FERNANDA GIRALDO MORENO,PARTIDO CONSERVADOR COLOMBIANO,2404
Asamblea,CASANARE,MARTHA AUDREY BARRERA LOPEZ,PARTIDO ADA,2400
Asamblea,CASANARE,MAXIMILIANO  SOLER ,PARTIDO COLOMBIA JUSTA LIBRES,2389
Asamblea,CASANARE,MIGUEL OSWALDO VARGAS PEREZ,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,2473
Asamblea,CASANARE,NAYDUYIBED  FRANCO ,PARTIDO LIBERAL COLOMBIANO,2381
Asamblea,CASANARE,OLFAN  BOCANEGRA MONROY,PARTIDO LIBERAL COLOMBIANO,2375
Asamblea,CASANARE,OLGA MIRIAM BARINAS ARIAS,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,2468
Asamblea,CASANARE,OSCAR  RODRIGUEZ TORRES,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,2465
Asamblea,CASANARE,OSCAR FABIAN RODRIGUEZ CELY,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,2466
Asamblea,CASANARE,OSCAR JAVIER ARIAS PEREZ,PARTIDO CONSERVADOR COLOMBIANO,2405
Asamblea,CASANARE,OSCAR REINALDO GOMEZ PEÑALOZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2451
Asamblea,CASANARE,PAOLA ANDREA RODRIGUEZ DURAN,PARTIDO ALIANZA VERDE,2428
Asamblea,CASANARE,REMBERTO  JARA GUTIERREZ,PARTIDO COLOMBIA JUSTA LIBRES,2395
Asamblea,CASANARE,ROLANDO  CHINCHILLA CUEVAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2449
Asamblea,CASANARE,RUDY ESMERALDA BOHORQUEZ PEÑA,PARTIDO CAMBIO RADICAL,2415
Asamblea,CASANARE,SWEN SSVENSON RAMIREZ DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2450
Asamblea,CASANARE,TIFFANY YICEL VERA SIERRA,PARTIDO CONSERVADOR COLOMBIANO,2407
Asamblea,CASANARE,VICENTE RAFAEL MONTES ESCOBAR,PARTIDO ADA,2397
Asamblea,CASANARE,VICTOR HUGO TAMAYO URREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2448
Asamblea,CASANARE,VIRGINIA BRIYITH CALDERON LANDINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2435
Asamblea,CASANARE,WILMER ANDRADE LEAL LOPEZ,PARTIDO LIBERAL COLOMBIANO,2374
Asamblea,CASANARE,WILTON  PEREZ BARRERA,COALICION CASANARE,2460
Asamblea,CASANARE,YAMILE  LOPEZ ORTIZ,PARTIDO ADA,2402
Asamblea,CASANARE,YORK LEHMAN CORTES PEÑA,PARTIDO CAMBIO RADICAL,2414
Asamblea,CASANARE,YORLEY MILENA CANO DAZA,COALICION CASANARE,2459
Asamblea,CASANARE,ZORAIDA  BARRETO ARIAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2434
