corp,dpto,name,party,wp_no
Asamblea,CHOCO,JORGE ENRIQUE MOSQUERA LOZANO,PARTIDO LIBERAL COLOMBIANO,829
Asamblea,CHOCO,JOSE DE LOS SANTO PEPE BATEZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,834
Asamblea,CHOCO,JOSE DIOGENES PALACIOS MOSQUERA,PARTIDO CONSERVADOR COLOMBIANO,879
Asamblea,CHOCO,JOSE GENARO MURILLO MURILLO,PARTIDO CAMBIO RADICAL,886
Asamblea,CHOCO,JOSE NEMESIO MOSQUERA IBARGUEN,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,915
Asamblea,CHOCO,JUAN CARLOS SANCHEZ MENA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,918
Asamblea,CHOCO,JULIA EMILIA MOSQUERA MENA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,919
Asamblea,CHOCO,JULIO DIONICIO PALACIOS LONDOÑO,PARTIDO COLOMBIA RENACIENTE,854
Asamblea,CHOCO,KALER ESTID CASTRO PINO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,836
Asamblea,CHOCO,KELLY JOHANA RAMIREZ MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,905
Asamblea,CHOCO,LEYCER  PALACIOS MOSQUERA,PARTIDO LIBERAL COLOMBIANO,826
Asamblea,CHOCO,LEYLA JACKELYNE CORDOBA MENDOZA,PARTIDO LIBERAL COLOMBIANO,825
Asamblea,CHOCO,LUIS ABEL PINO LEUDO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,917
Asamblea,CHOCO,LUIS ALBERTO BECERRA HERNANDEZ,PARTIDO ADA,867
Asamblea,CHOCO,LUIS ALBERTO MURILLO CONTO,PARTIDO COLOMBIA RENACIENTE,860
Asamblea,CHOCO,LUIS BERNERIS HURTADO HURTADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,904
Asamblea,CHOCO,LUIS JOSE PALACIOS QUINTO,PARTIDO COLOMBIA JUSTA LIBRES,848
Asamblea,CHOCO,LUIS VICENTE ARIAS PALACIOS,PARTIDO LIBERAL COLOMBIANO,830
Asamblea,CHOCO,LUZ MARI MENA MOSQUERA,PARTIDO CAMBIO RADICAL,890
Asamblea,CHOCO,LUZ NEREYDA BOLIVAR MENDOZA,COALICION POR LA VIDA LA PAZ Y EL TERRITORIO,927
Asamblea,CHOCO,MARELYS  MOSQUERA MOSQUERA,PARTIDO COLOMBIA JUSTA LIBRES,850
Asamblea,CHOCO,MARIA MILENA COLLAZOS ALVAREZ,PARTIDO CAMBIO RADICAL,892
Asamblea,CHOCO,MARLENE  ESPINOSA CORTES,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,920
Asamblea,CHOCO,MARLIDIS  PALACIOS PALACIOS,PARTIDO ALIANZA VERDE,899
Asamblea,CHOCO,MARTHA ISABEL RIVAS MORENO,PARTIDO CAMBIO RADICAL,889
