corp,dpto,name,party,wp_no
Asamblea,CUNDINAMARCA,JAIME  GOMEZ CAMACHO,CUNDINAMARCA HUMANA Y ALTERNATIVA,816
Asamblea,CUNDINAMARCA,JAIRO EDUARDO LOPEZ ISAZA,PARTIDO CENTRO DEMOCRATICO,714
Asamblea,CUNDINAMARCA,JHOAN MANUEL BALLEN ZAMBRANO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,812
Asamblea,CUNDINAMARCA,JONATAN ARMANDO MARTINEZ CASTIBLANCO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,808
Asamblea,CUNDINAMARCA,JORGE  CHAVARRO BUSTOS,PARTIDO CENTRO DEMOCRATICO,726
Asamblea,CUNDINAMARCA,JORGE GONZALO BERNAL PARRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,799
Asamblea,CUNDINAMARCA,JORGE HERNAN RAMIREZ BARRETO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,790
Asamblea,CUNDINAMARCA,JORGE HUMBERTO GARCES BETANCUR,PARTIDO CAMBIO RADICAL,758
Asamblea,CUNDINAMARCA,JOSE  RUEDA AVELLANEDA,PARTIDO CAMBIO RADICAL,752
Asamblea,CUNDINAMARCA,JOSE ALBERTO DIMATE CARDENAS,PARTIDO LIBERAL COLOMBIANO,710
Asamblea,CUNDINAMARCA,JOSE NICOLAS GOMEZ MEDINA,PARTIDO CAMBIO RADICAL,760
Asamblea,CUNDINAMARCA,JOSE RICARDO PORRAS GOMEZ,PARTIDO LIBERAL COLOMBIANO,709
Asamblea,CUNDINAMARCA,JOSUE  FRIAS CRUZ,PARTIDO LIBERAL COLOMBIANO,707
Asamblea,CUNDINAMARCA,JUAN CARLOS COY CARRASCO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,793
Asamblea,CUNDINAMARCA,JUAN CARLOS NEMOCON MOJICA,PARTIDO LIBERAL COLOMBIANO,704
Asamblea,CUNDINAMARCA,JUAN PABLO CAÑON NIÑO,PARTIDO CAMBIO RADICAL,756
Asamblea,CUNDINAMARCA,JUDITH STELLA GONZALEZ MONTOYA,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,814
Asamblea,CUNDINAMARCA,JULIO CESAR DELGADILLO RODRIGUEZ,PARTIDO ALIANZA VERDE,769
Asamblea,CUNDINAMARCA,LADY ANGELICA RAQUEJO VILLAMIL,PARTIDO COLOMBIA JUSTA LIBRES,731
